label,status,LD,n_calls,arm_ok,ld_ok,elapsed_s,AR,taper,tail_arm,fuse_len,SHT_frac,mtow,speed,loading,rstate,error
light_fast,PASS,15.661,80,True,True,1360.7,8.8,0.382,5.71,0.5,0.164,1.5,25.0,120.0,42,
light_slow,PASS,22.987,80,True,True,1442.6,5.0,0.55,5.72,0.5,0.316,1.5,15.0,80.0,42,
base,PASS,23.734,80,True,True,1469.2,11.45,0.55,5.76,0.5,0.15,3.0,20.0,120.0,42,
heavy_slow,PASS,26.105,80,True,True,1502.7,12.0,0.25,3.5,0.5,0.15,5.0,16.0,90.0,42,
hi_loading,PASS,26.09,80,True,True,1339.6,12.0,0.55,5.67,0.54,0.182,3.0,20.0,160.0,42,
heavy_fast,PASS,19.965,80,True,True,1506.7,7.37,0.453,5.31,0.5,0.191,5.0,28.0,150.0,42,
fast,PASS,16.432,80,True,True,1475.3,5.0,0.288,3.95,0.5,0.15,3.0,30.0,130.0,42,
lo_loading,PASS,19.609,80,True,True,1568.9,12.0,0.538,6.0,0.686,0.15,3.0,20.0,80.0,42,
slow,PASS,27.871,80,True,True,1467.3,10.23,0.55,4.84,0.5,0.15,3.0,14.0,90.0,42,
med_light,PASS,22.609,80,True,True,1305.0,12.0,0.55,4.93,0.5,0.15,2.0,18.0,100.0,42,
med_heavy,PASS,21.664,80,True,True,1459.0,11.5,0.55,3.5,0.5,0.156,4.0,22.0,130.0,42,
sprint,PASS,17.929,80,True,True,1339.5,11.19,0.277,5.27,0.564,0.196,2.5,28.0,140.0,42,
small_fast,PASS,15.427,80,True,True,1079.0,12.0,0.55,6.0,0.5,0.15,1.5,28.0,140.0,42,
seed_0,PASS,23.266,80,True,True,1325.1,12.0,0.25,6.0,0.5,0.15,3.0,20.0,120.0,0,
large_slow,PASS,35.918,80,True,True,1420.1,12.0,0.25,5.73,1.023,0.197,5.0,14.0,80.0,42,
loiter,PASS,24.824,80,True,True,1455.3,12.0,0.521,3.8,0.517,0.15,2.5,14.0,85.0,42,
seed_1,PASS,24.507,80,True,True,1282.3,9.56,0.262,4.77,0.716,0.283,3.0,20.0,120.0,1,
seed_4,PASS,23.945,80,True,True,1280.3,12.0,0.55,5.59,0.5,0.15,3.0,20.0,120.0,4,
seed_2,PASS,24.62,80,True,True,1296.3,12.0,0.25,6.0,0.5,0.171,3.0,20.0,120.0,2,
seed_3,PASS,21.938,80,True,True,1301.9,9.14,0.379,4.95,0.638,0.151,3.0,20.0,120.0,3,
