Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.232 m
   Chord =    0.199 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.127, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.13 m
Static margin       = 0.212321
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.015964  -2.5162e-05            0  -2.5162e-05   8.9095e-08     0.066098            0     0.066098  -2.0991e-10   1.0981e-08            0   1.0981e-08      -634.44      -80.159       7.9147       0.9592   -0.0015119   -0.0015119   5.3534e-06       0.9592      0.16411   -1.042e-08       7.8705            0            0            0           20     -0.17462           20     -0.09031    5.536e-08      0.79068   8.1104e-07     0.028986   1.7527e-09     0.026466      0.21984      -5.1389    -0.030238     -0.52099   0.00046272            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           -4            0            0      0.10297   0.00037342            0   0.00037342   8.9789e-08       0.0616            0       0.0616  -1.7537e-10   1.1816e-08            0   1.1816e-08       275.76       88.488       3.1163       6.1872     0.022437     0.022437   5.3951e-06       6.1872   -0.0027554   3.9976e-08       11.505            0            0            0           20      0.15818           20      0.20778   4.8063e-08      0.73688   8.7342e-07     0.064663    1.204e-09     0.025638      0.87465       4.6552      0.44875       1.4607    0.0066585            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           -3            0            0      0.18997    0.0016202            0    0.0016202   9.0431e-08     0.057136            0     0.057136   -1.131e-10   1.2655e-08            0   1.2655e-08       117.25       51.105       2.2943       11.415     0.097352     0.097352   5.4336e-06       11.415    -0.044464   9.0898e-08       15.148            0            0            0       19.999      0.27389           20      0.48865   4.0666e-08      0.68348   9.3591e-07     0.083157   9.1742e-10     0.025206       1.5308       8.0606        1.947       1.1458     0.015798            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           -2            0            0      0.27689    0.0037148            0    0.0037148    9.102e-08     0.052712            0     0.052712  -2.2796e-11   1.3496e-08            0   1.3496e-08       74.537       39.222       1.9004       16.637      0.22321      0.22321    5.469e-06       16.637     0.039426   1.4228e-07        18.79            0            0            0       19.998      0.35687           20      0.76864   3.3178e-08      0.63055   9.9844e-07     0.094415   7.4128e-10     0.024941       2.1875       10.503       4.4642       1.0617     0.026143            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           -1            0            0      0.36366    0.0066542            0    0.0066542   9.1555e-08     0.048332            0     0.048332    9.577e-11   1.4337e-08            0   1.4337e-08       54.651       32.957       1.6583       21.851      0.39983      0.39983   5.5012e-06       21.851      0.24897   1.9407e-07       22.426            0            0            0       19.997      0.42471           20       1.0483   2.5608e-08      0.57815   1.0609e-06      0.10195   6.2198e-10     0.024761       2.8439       12.499       7.9966       1.0224     0.037074            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            0            0            0       0.4502     0.010433            0     0.010433   9.2036e-08     0.044002            0     0.044002   2.4273e-10   1.5176e-08            0   1.5176e-08       43.152       28.954       1.4904       27.051      0.62688      0.62688   5.5301e-06       27.051      0.58384   2.4619e-07       26.046            0            0            0       19.995      0.48343           20       1.3275   1.7967e-08      0.52636   1.1233e-06      0.10731   5.3578e-10     0.024632       3.4993       14.227       12.538      0.99937     0.048311            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            1            0            0      0.53646     0.015043            0     0.015043   9.2462e-08     0.039727            0     0.039727   4.1813e-10   1.6011e-08            0   1.6011e-08       35.662        26.12       1.3653       32.234      0.90386      0.90386   5.5557e-06       32.234       1.0433   2.9859e-07       29.643            0            0            0       19.992      0.53587           20       1.6062   1.0262e-08      0.47522   1.1855e-06       0.1113   4.7054e-10     0.024535       4.1528       15.771       18.077      0.98414     0.059706            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            2            0            0      0.62235     0.020473            0     0.020473   9.2832e-08     0.035513            0     0.035513   6.2194e-10   1.6841e-08            0   1.6841e-08       30.398       23.981       1.2676       37.395       1.2302       1.2302   5.5779e-06       37.395       1.6264   3.5119e-07        33.21            0            0            0       19.989      0.58367           20       1.8841   2.5039e-09      0.42481   1.2474e-06      0.11436   4.1943e-10     0.024459       4.8037       17.177       24.603      0.97319     0.071171            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            3            0            0      0.70781     0.026711            0     0.026711   9.3147e-08     0.031364            0     0.031364   8.5402e-10   1.7663e-08            0   1.7663e-08       26.499       22.294       1.1886        42.53       1.6049       1.6049   5.5969e-06        42.53       2.3314   4.0394e-07       36.739            0            0            0       19.986      0.62784           20       2.1612  -5.2986e-09      0.37519    1.309e-06      0.11677   3.7827e-10     0.024398       5.4511       18.477       32.099      0.96485     0.082649            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            4            0            0      0.79277      0.03374            0      0.03374   9.3406e-08     0.027286            0     0.027286   1.1142e-09   1.8477e-08            0   1.8477e-08       23.496       20.921       1.1231       47.635       2.0273       2.0273   5.6124e-06       47.635       3.1568   4.5678e-07       40.223            0            0            0       19.982      0.66905           20        2.437  -1.3136e-08      0.32641   1.3701e-06       0.1187    3.444e-10     0.024348       6.0942        19.69       40.546      0.95821       0.0941            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            5            0            0      0.87717     0.041543            0     0.041543   9.3608e-08     0.023284            0     0.023284   1.4021e-09   1.9281e-08            0   1.9281e-08       21.115       19.775       1.0677       52.706       2.4962       2.4962   5.6245e-06       52.706       4.1001   5.0963e-07       43.654            0            0            0       19.978       0.7078           20       2.7115  -2.0998e-08      0.27853   1.4308e-06      0.12027   3.1602e-10     0.024306       6.7324       20.831       49.923      0.95275      0.10549            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            6            0            0      0.96093     0.050099            0     0.050099   9.3753e-08     0.019363            0     0.019363   1.7174e-09   2.0072e-08            0   2.0072e-08       19.181       18.802       1.0201       57.739       3.0103       3.0103   5.6333e-06       57.739       5.1589   5.6243e-07       47.025            0            0            0       19.973      0.74444           20       2.9845  -2.8876e-08      0.23162   1.4909e-06      0.12156   2.9188e-10     0.024271       7.3647       21.909       60.205      0.94812      0.11681            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            7            0            0        1.044     0.059385            0     0.059385   9.3841e-08     0.015526            0     0.015526   2.0596e-09   2.0849e-08            0   2.0849e-08        17.58       17.963       0.9787        62.73       3.5682       3.5682   5.6386e-06        62.73       6.3302   6.1513e-07       50.329            0            0            0       19.968      0.77924           20       3.2556   -3.676e-08      0.18573   1.5503e-06      0.12263   2.7109e-10     0.024241       7.9905       22.933       71.365      0.94412      0.12802            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            8            0            0       1.1263     0.069377            0     0.069377   9.3872e-08      0.01178            0      0.01178   2.4282e-09   2.1611e-08            0   2.1611e-08       16.234       17.229      0.94227       67.675       4.1686       4.1686   5.6404e-06       67.675       7.6108   6.6764e-07       53.559            0            0            0       19.962      0.81241           20       3.5248   -4.464e-08      0.14092   1.6091e-06      0.12352   2.5298e-10     0.024214       8.6089       23.909       83.372      0.94059      0.13912            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0            9            0            0       1.2078     0.080047            0     0.080047   9.3846e-08    0.0081284            0    0.0081284   2.8225e-09   2.2355e-08            0   2.2355e-08       15.088       16.582      0.90993       72.571       4.8097       4.8097   5.6389e-06       72.571       8.9971   7.1992e-07       56.709            0            0            0       19.956      0.84412           20       3.7918  -5.2507e-08     0.097233    1.667e-06      0.12427   2.3706e-10     0.024192       9.2193       24.842       96.194      0.93743      0.15009            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           10            0            0       1.2884     0.091365            0     0.091365   9.3763e-08    0.0045757            0    0.0045757   3.2418e-09    2.308e-08            0    2.308e-08       14.101       16.006      0.88101       77.413       5.4898       5.4898   5.6339e-06       77.413       10.485   7.7189e-07       59.771            0            0            0        19.95      0.87449           20       4.0563  -6.0351e-08     0.054735   1.7241e-06       0.1249   2.2294e-10     0.024171       9.8208       25.736        109.8      0.93457      0.16091            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           11            0            0        1.368       0.1033            0       0.1033   9.3623e-08    0.0011263            0    0.0011263   3.6853e-09   2.3785e-08            0   2.3785e-08       13.243       15.489      0.85498       82.199       6.2069       6.2069   5.6255e-06       82.199        12.07    8.235e-07        62.74            0            0            0       19.943      0.90365           20       4.3183  -6.8162e-08     0.013473   1.7803e-06      0.12542   2.1033e-10     0.024154       10.413       26.595       124.14      0.93195      0.17158            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           12            0            0       1.4467      0.11582            0      0.11582   9.3426e-08   -0.0022156            0   -0.0022156   4.1522e-09   2.4469e-08            0   2.4469e-08       12.491       15.023      0.83141       86.925       6.9592       6.9592   5.6136e-06       86.925       13.749   8.7468e-07       65.609            0            0            0       19.936      0.93168           20       4.5773  -7.5932e-08    -0.026503   1.8355e-06      0.12587   1.9899e-10     0.024138       10.994       27.419       139.18      0.92954      0.18209            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           13            0            0       1.5243      0.12889            0      0.12889   9.3173e-08   -0.0054458            0   -0.0054458   4.6415e-09   2.5128e-08            0   2.5128e-08       11.826       14.601      0.80997       91.587       7.7444       7.7444   5.5984e-06       91.587       15.515   9.2536e-07       68.373            0            0            0       19.929      0.95865           20       4.8333   -8.365e-08    -0.065144   1.8896e-06      0.12623   1.8873e-10     0.024123       11.565       28.213       154.89       0.9273      0.19241            0            0            0            0            0            0            0            0            0            3       0.1271            0  
          0           14            0            0       1.6007      0.14247            0      0.14247   9.2863e-08   -0.0085605            0   -0.0085605   5.1522e-09   2.5763e-08            0   2.5763e-08       11.236       14.216      0.79039       96.182       8.5603       8.5603   5.5798e-06       96.182       17.364   9.7549e-07       71.026            0            0            0       19.921      0.98462           20        5.086  -9.1308e-08      -0.1024   1.9426e-06      0.12654    1.794e-10     0.024111       12.124       28.977       171.21      0.92521      0.20256            0            0            0            0            0            0            0            0            0            3       0.1271            0  
