Type 1: Fixed speed
V∞ = 15m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.184 m²
   Span  =    1.210 m
   Chord =    0.152 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  1.500 kg
   CoG = (0.093, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.10 m
Static margin       = 4.74402
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 15.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.079635     0.000523            0     0.000523   8.8391e-08     0.072151            0     0.072151  -5.5385e-11   9.2883e-09            0   9.2883e-09       152.27       42.969       3.5436       2.0187     0.013257     0.013257   2.2406e-06       2.0187     0.023319  -2.2938e-08       4.5349            0            0            0           15      0.26597           15      0.37628   2.3147e-08      0.27791   2.8407e-07     0.033238   1.3316e-09     0.016547      0.25271       3.9138      0.19886      0.48451    0.0026469            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0           -4            0            0      0.17477     0.001374            0     0.001374   8.9107e-08     0.064899            0     0.064899  -2.5767e-11   9.8568e-09            0   9.8568e-09       127.19       53.173       2.3921       4.4301      0.03483      0.03483   2.2588e-06       4.4301    -0.016503  -5.8767e-10       6.2285            0            0            0           15      0.21493           15      0.45046   2.0309e-08      0.24998   3.0177e-07     0.054032   9.7544e-10     0.016568      0.54119       3.1627      0.52245      0.88822     0.009443            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0           -3            0            0      0.26986    0.0029584            0    0.0029584   8.9771e-08     0.057684            0     0.057684   2.2419e-11   1.0427e-08            0   1.0427e-08       91.218       47.386        1.925       6.8406     0.074992     0.074992   2.2756e-06       6.8406    0.0020701   2.2012e-08       7.9238            0            0            0       14.999      0.24118           15      0.62809   1.7432e-08      0.22219   3.1947e-07     0.065894    7.707e-10     0.016583      0.83015        3.549       1.1249       0.9836     0.017782            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0           -2            0            0      0.36484    0.0052752            0    0.0052752   9.0383e-08     0.050513            0     0.050513   8.9371e-11   1.0997e-08            0   1.0997e-08       69.161       41.775       1.6556       9.2484      0.13372      0.13372   2.2911e-06       9.2484     0.079146   4.4835e-08       9.6174            0            0            0       14.998      0.27357           15      0.82838   1.4517e-08      0.19457   3.3715e-07     0.073526   6.3766e-10     0.016596       1.1192       4.0257       2.0058       1.0083     0.026825            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0           -1            0            0      0.45965    0.0083217            0    0.0083217   9.0942e-08     0.043397            0     0.043397   1.7523e-10   1.1567e-08            0   1.1567e-08       55.236       37.449        1.475       11.652      0.21095      0.21095   2.3053e-06       11.652      0.21465   6.7852e-08       11.306            0            0            0       14.998      0.30518           15       1.0372    1.157e-08      0.16716   3.5478e-07     0.078821   5.4422e-10     0.016608       1.4081       4.4907       3.1642       1.0145      0.03623            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            0            0            0      0.55422     0.012092            0     0.012092   9.1447e-08     0.036343            0     0.036343   2.8008e-10   1.2135e-08            0   1.2135e-08       45.832        34.12       1.3433       14.049      0.30653      0.30653   2.3181e-06       14.049      0.40835   9.1035e-08       12.985            0            0            0       14.996      0.33495           15       1.2499   8.5942e-09      0.13999   3.7235e-07      0.08269   4.7495e-10     0.016619       1.6964       4.9287       4.5979        1.015     0.045829            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            1            0            0      0.64848      0.01658            0      0.01658   9.1898e-08     0.029359            0     0.029359   4.0395e-10     1.27e-08            0     1.27e-08       39.113       31.497       1.2418       16.438      0.42028      0.42028   2.3295e-06       16.438       0.6598   1.1436e-07       14.652            0            0            0       14.995      0.36285           15       1.4646   5.5923e-09      0.11309   3.8984e-07     0.085626   4.2152e-10     0.016629       1.9838       5.3393       6.3042       1.0135     0.055527            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            2            0            0      0.74237     0.021775            0     0.021775   9.2293e-08     0.022456            0     0.022456    5.468e-10    1.326e-08            0    1.326e-08       34.093       29.375       1.1606       18.818      0.55196      0.55196   2.3395e-06       18.818       0.9684   1.3779e-07       16.303            0            0            0       14.994      0.38906           15       1.6801   2.5683e-09     0.086497   4.0722e-07     0.087915   3.7902e-10      0.01664       2.2699        5.725       8.2795       1.0113     0.065265            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            3            0            0      0.83582     0.027665            0     0.027665   9.2633e-08      0.01564            0      0.01564   7.0855e-10   1.3815e-08            0   1.3815e-08       30.212       27.621       1.0938       21.187      0.70127      0.70127   2.3482e-06       21.187       1.3334    1.613e-07       17.934            0            0            0       14.992      0.41376           15       1.8957  -4.7396e-10     0.060244   4.2447e-07      0.08974   3.4438e-10     0.016649       2.5544       6.0885       10.519        1.009     0.075006            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            4            0            0      0.92876     0.034236            0     0.034236   9.2917e-08    0.0089209            0    0.0089209   8.8905e-10   1.4364e-08            0   1.4364e-08       27.128       26.144       1.0376       23.543      0.86785      0.86785   2.3554e-06       23.543       1.7538   1.8487e-07       19.542            0            0            0        14.99      0.43714           15       2.1111  -3.5308e-09     0.034362   4.4157e-07     0.091219    3.156e-10     0.016659       2.8369       6.4326       13.018       1.0067      0.08472            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
          0            5            0            0       1.0211     0.041473            0     0.041473   9.3145e-08     0.002306            0     0.002306   1.0881e-09   1.4904e-08            0   1.4904e-08       24.621        24.88       0.9896       25.885       1.0513       1.0513   2.3611e-06       25.885       2.2285   2.0846e-07       21.124            0            0            0       14.988      0.45934           15       2.3258  -6.5986e-09    0.0088822    4.585e-07     0.092434   2.9129e-10     0.016668       3.1171       6.7592        15.77       1.0046     0.094387            0            0            0            0            0            0            0            0            0          1.5       0.0932            0  
