Type 1: Fixed speed
V∞ = 25m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.123 m²
   Span  =    0.836 m
   Chord =    0.147 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  1.500 kg
   CoG = (0.102, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.10 m
Static margin       = -1.03541
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 25.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.065954   0.00052757            0   0.00052757   9.0108e-08      0.06116            0      0.06116   2.1022e-10   1.1808e-08            0   1.1808e-08      -125.02      -32.106            0      -3.0961     0.024765     0.024765   4.2299e-06      -3.0961      0.34017   1.5091e-08        3.456            0            0            0       24.999     -0.43597           25      -0.4583   4.8596e-08      0.42122   4.6082e-07    -0.017293   8.1574e-09     0.019989     -0.20535      -6.4153      0.61914      0.46071    0.0011405            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0           -4            0            0     0.023497   8.1486e-05            0   8.1486e-05   9.0687e-08     0.054928            0     0.054928   2.6852e-10   1.2413e-08            0   1.2413e-08       288.35         44.2       6.5237        1.103    0.0038252    0.0038252   4.2571e-06        1.103      0.12277   5.4223e-08       6.3805            0            0            0           25      0.31667           25       0.1987   4.4482e-08       0.3783   4.8509e-07      0.04412    4.443e-09     0.018019      0.12885       4.6599     0.095629      0.37857    0.0010367            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0           -3            0            0      0.11296   0.00063184            0   0.00063184   9.1212e-08     0.048738            0     0.048738   3.4627e-10   1.3018e-08            0   1.3018e-08       178.78       60.085       2.9754       5.3025      0.02966      0.02966   4.2817e-06       5.3025    0.0059532    9.378e-08       9.3164            0            0            0           25      0.23295           25      0.32048   4.0297e-08      0.33567   5.0933e-07     0.066891   3.0569e-09     0.017286      0.46408       3.4279       0.7415       1.1284    0.0075559            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0           -2            0            0      0.20235     0.002178            0     0.002178   9.1682e-08     0.042598            0     0.042598   4.4362e-10   1.3622e-08            0   1.3622e-08       92.906       41.792        2.223       9.4988      0.10224      0.10224   4.3038e-06       9.4988   -0.0096854   1.3372e-07       12.258            0            0            0       24.999      0.33492           25      0.61668   3.6046e-08      0.29338   5.3351e-07      0.07869    2.332e-09     0.016904      0.79991       4.9283        2.556       1.0504     0.015923            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0           -1            0            0      0.29159    0.0047163            0    0.0047163   9.2097e-08     0.036514            0     0.036514   5.6069e-10   1.4224e-08            0   1.4224e-08       61.827       33.386       1.8519       13.688      0.22139      0.22139   4.3232e-06       13.688     0.076145   1.7398e-07       15.198            0            0            0       24.997      0.41925           25      0.92664   3.1734e-08      0.25148   5.5759e-07      0.08586    1.886e-09     0.016671       1.1359       6.1693       5.5349       1.0073     0.025036            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            0            0            0      0.38061    0.0082401            0    0.0082401   9.2456e-08     0.030495            0     0.030495   6.9751e-10   1.4822e-08            0   1.4822e-08        46.19       28.496       1.6209       17.867      0.38681      0.38681   4.3401e-06       17.867      0.26343   2.1452e-07       18.131            0            0            0       24.994      0.49119           25       1.2402   2.7367e-08      0.21002   5.8155e-07     0.090643   1.5837e-09     0.016514       1.4718       7.2279       9.6702       0.9823       0.0345            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            1            0            0      0.46932      0.01274            0      0.01274   9.2759e-08     0.024547            0     0.024547   8.5408e-10   1.5416e-08            0   1.5416e-08       36.839       25.237       1.4597       22.031      0.59803      0.59803   4.3543e-06       22.031      0.55183    2.553e-07       21.051            0            0            0       24.991      0.55462           25       1.5549   2.2948e-08      0.16906   6.0535e-07     0.094036   1.3653e-09     0.016401       1.8069       8.1612       14.951      0.96604     0.044133            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            2            0            0      0.55764     0.018202            0     0.018202   9.3006e-08     0.018678            0     0.018678   1.0303e-09   1.6005e-08            0   1.6005e-08       30.636       22.878       1.3391       26.177      0.85446      0.85446   4.3659e-06       26.177      0.94072   2.9626e-07       23.951            0            0            0       24.987      0.61183           25       1.8696   1.8485e-08      0.12864   6.2897e-07     0.096548   1.1999e-09     0.016317       2.1411        9.003       21.362      0.95456     0.053839            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            3            0            0      0.64551     0.024613            0     0.024613   9.3196e-08     0.012895            0     0.012895   1.2261e-09   1.6586e-08            0   1.6586e-08       26.227       21.072       1.2447       30.302       1.1554       1.1554   4.3748e-06       30.302       1.4292   3.3734e-07       26.826            0            0            0       24.982      0.66426           25       2.1836   1.3982e-08     0.088811   6.5238e-07     0.098466   1.0703e-09     0.016252       2.4739       9.7746       28.884      0.94594     0.063561            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            4            0            0      0.73284     0.031952            0     0.031952   9.3328e-08    0.0072054            0    0.0072054   1.4412e-09    1.716e-08            0    1.716e-08       22.936       19.634       1.1681       34.401       1.4999       1.4999   4.3811e-06       34.401       2.0159   3.7851e-07       29.668            0            0            0       24.976      0.71289           25       2.4965   9.4449e-09     0.049625   6.7556e-07     0.099965   9.6595e-10       0.0162       2.8047        10.49       37.497      0.93915     0.073258            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
          0            5            0            0      0.81955     0.040198            0     0.040198   9.3404e-08    0.0016156            0    0.0016156   1.6754e-09   1.7724e-08            0   1.7724e-08       20.388       18.457       1.1046       38.472        1.887        1.887   4.3846e-06       38.472       2.6994   4.1971e-07       32.474            0            0            0        24.97      0.75838           25       2.8081   4.8792e-09     0.011127   6.9846e-07      0.10116   8.8003e-10     0.016158       3.1334        11.16       47.175      0.93359     0.082904            0            0            0            0            0            0            0            0            0          1.5       0.1021            0  
