Type 1: Fixed speed
V∞ = 16m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.545 m²
   Span  =    1.802 m
   Chord =    0.302 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  5.000 kg
   CoG = (0.357, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.27 m
Static margin       = -29.7451
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 16.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0      0.16021     0.001836            0     0.001836   8.7721e-08     0.013326            0     0.013326   1.2102e-09   9.3849e-09            0   9.3849e-09       87.262       34.928       2.4984       13.691       0.1569       0.1569   7.4963e-06       13.691     0.081538   -2.792e-07       19.687            0            0            0       15.999      0.34706           16      0.65657   3.1163e-07      0.34437   1.4236e-06      0.34095   9.5907e-09     0.010052       1.8922       17.023       2.5103      0.74675     0.054623            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0           -4            0            0      0.25161    0.0040306            0    0.0040306   8.8291e-08      0.03081            0      0.03081   1.2452e-09   9.9515e-09            0   9.9515e-09       62.426       31.313       1.9936       21.502      0.34444      0.34444    7.545e-06       21.502      0.11953  -2.1156e-07       25.218            0            0            0       15.998      0.38711           16      0.91775   2.9821e-07      0.79623   1.5155e-06      0.32681   7.5075e-09     0.010672       3.2259       18.988       5.5111      0.83899     0.082229            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0           -3            0            0      0.34288    0.0071228            0    0.0071228   8.8808e-08      0.04847            0      0.04847   1.2984e-09   1.0519e-08            0   1.0519e-08       48.139       28.188       1.7078       29.301      0.60868      0.60868   7.5892e-06       29.301      0.34814  -1.4311e-07       30.745            0            0            0       15.997      0.43004           16       1.1901   2.8447e-07       1.2526   1.6073e-06      0.31744   6.1686e-09     0.011078       4.5614       21.093       9.7389      0.88165      0.10884            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0           -2            0            0      0.43393     0.011107            0     0.011107   8.9272e-08     0.066284            0     0.066284   1.3699e-09   1.1087e-08            0   1.1087e-08       39.068       25.736       1.5181       37.082      0.94916      0.94916   7.6288e-06       37.082      0.76729  -7.3939e-08       36.257            0            0            0       15.995      0.47101           16       1.4662   2.7044e-07        1.713    1.699e-06      0.31067    5.235e-09     0.011366       5.8971       23.103       15.187      0.90554      0.13481            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0           -1            0            0       0.5247     0.015975            0     0.015975   8.9683e-08     0.084229            0     0.084229   1.4599e-09   1.1653e-08            0   1.1653e-08       32.844       23.791       1.3805       44.839       1.3652       1.3652   7.6639e-06       44.839       1.3763  -4.1247e-09       41.744            0            0            0       15.993      0.50951           16       1.7439   2.5612e-07       2.1767   1.7904e-06      0.30547   4.5464e-09     0.011584       7.2314       24.991       21.843      0.92052      0.16028            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            0            0            0       0.6151     0.021717            0     0.021717    9.004e-08      0.10228            0      0.10228   1.5683e-09   1.2216e-08            0   1.2216e-08       28.324       22.214        1.275       52.564       1.8558       1.8558   7.6944e-06       52.564       2.1739   6.6245e-08       47.192            0            0            0        15.99      0.54568           16        2.022   2.4153e-07       2.6434   1.8813e-06      0.30129   4.0173e-09     0.011756       8.5626       26.766       29.693       0.9306      0.18533            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            1            0            0      0.70507     0.028318            0     0.028318   9.0342e-08      0.12043            0      0.12043   1.6953e-09   1.2776e-08            0   1.2776e-08       24.898       20.907       1.1909       60.253       2.4199       2.4199   7.7203e-06       60.253       3.1583   1.3709e-07        52.59            0            0            0       15.987       0.5798           16       2.2999    2.267e-07       3.1122   1.9718e-06      0.29782   3.5977e-09     0.011896       9.8891       28.439       38.719      0.93771      0.20998            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            2            0            0      0.79454     0.035763            0     0.035763    9.059e-08      0.13864            0      0.13864   1.8406e-09   1.3331e-08            0   1.3331e-08       22.217       19.803       1.1219       67.898       3.0561       3.0561   7.7414e-06       67.898       4.3271   2.0831e-07       57.928            0            0            0       15.984      0.61211           16       2.5772   2.1164e-07       3.5828   2.0617e-06      0.29485   3.2566e-09     0.012013       11.209       30.024       48.898      0.94289      0.23427            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            3            0            0      0.88342     0.044033            0     0.044033   9.0782e-08      0.15689            0      0.15689   2.0043e-09    1.388e-08            0    1.388e-08       20.063       18.857       1.0639       75.494       3.7628       3.7628   7.7579e-06       75.494       5.6774   2.7983e-07       63.194            0            0            0        15.98      0.64282           16       2.8534   1.9637e-07       4.0546   2.1508e-06      0.29225   2.9737e-09     0.012114       12.522        31.53       60.206      0.94673      0.25818            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            4            0            0      0.97166     0.053106            0     0.053106   9.0919e-08      0.17517            0      0.17517    2.186e-09   1.4422e-08            0   1.4422e-08       18.297       18.036       1.0145       83.034       4.5382       4.5382   7.7696e-06       83.034       7.2055   3.5156e-07       68.376            0            0            0       15.976      0.67211           16       3.1284   1.8091e-07       4.5268   2.2391e-06      0.28993   2.7352e-09     0.012202       13.824       32.967       72.612      0.94962      0.28171            0            0            0            0            0            0            0            0            0            5       0.3573            0  
          0            5            0            0       1.0592     0.062959            0     0.062959   9.1001e-08      0.19344            0      0.19344   2.3857e-09   1.4955e-08            0   1.4955e-08       16.823       17.314      0.97166       90.514       5.3802       5.3802   7.7766e-06       90.514       8.9076   4.2342e-07       73.464            0            0            0       15.972      0.70012           16       3.4017   1.6527e-07       4.9991   2.3264e-06      0.28783   2.5312e-09      0.01228       15.116       34.341       86.084      0.95179      0.30487            0            0            0            0            0            0            0            0            0            5       0.3573            0  
