Type 1: Fixed speed
V∞ = 28m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.327 m²
   Span  =    1.279 m
   Chord =    0.256 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  5.000 kg
   CoG = (0.260, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.21 m
Static margin       = -19.0282
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 28.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.020439    9.793e-05            0    9.793e-05   8.9057e-08    0.0090313            0    0.0090313   8.5018e-10    1.147e-08            0    1.147e-08       208.71       29.838       6.9947       3.2094     0.015377     0.015377   1.3984e-05       3.2094       0.6669  -2.3442e-07       19.927            0            0            0           28      0.52447           28      0.27452   3.7076e-07      0.36267   2.2793e-06      0.24248   1.1319e-08     0.015246      0.13427       25.725      0.43057      0.27157    0.0049561            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0           -4            0            0      0.10884   0.00091749            0   0.00091749   8.9496e-08     0.019176            0     0.019176   9.1599e-10    1.205e-08            0    1.205e-08       118.63       39.137       3.0311       17.091      0.14407      0.14407   1.4053e-05       17.091      0.22583  -1.2008e-07       29.579            0            0            0       27.999      0.39986           28      0.48297   3.5225e-07      0.77005   2.4008e-06      0.23478   7.6472e-09     0.015108       1.7803       19.613        4.034      0.82199     0.025554            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0           -3            0            0       0.1972    0.0027102            0    0.0027102    8.988e-08     0.029467            0     0.029467   1.0003e-09   1.2631e-08            0   1.2631e-08       72.763       32.312       2.2519       30.965      0.42557      0.42557   1.4113e-05       30.965      0.11683  -4.2839e-09       39.257            0            0            0       27.997      0.48432           28      0.78738   3.3329e-07       1.1833   2.5222e-06      0.23057   5.7733e-09      0.01504       3.4303       23.756       11.916      0.91347     0.045469            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0           -2            0            0      0.28544    0.0054735            0    0.0054735   9.0209e-08     0.039893            0     0.039893   1.1031e-09   1.3211e-08            0   1.3211e-08       52.148       27.861       1.8717       44.821      0.85948      0.85948   1.4165e-05       44.821      0.34123   1.1282e-07       48.938            0            0            0       27.995      0.56169           28       1.0986   3.1393e-07        1.602   2.6433e-06      0.22779   4.6358e-09     0.015002       5.0821       27.551       24.066      0.94761     0.065021            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0           -1            0            0      0.37347    0.0092021            0    0.0092021   9.0484e-08      0.05044            0      0.05044   1.2247e-09   1.3789e-08            0   1.3789e-08       40.585       24.803       1.6363       58.645        1.445        1.445   1.4208e-05       58.645      0.89938    2.311e-07       58.604            0            0            0       27.992      0.63095           28       1.4114   2.9418e-07       2.0255    2.764e-06      0.22574   3.8716e-09     0.014979       6.7337       30.948       40.459      0.96496     0.084308            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            0            0            0      0.46123     0.013888            0     0.013888   9.0703e-08     0.061096            0     0.061096    1.365e-09   1.4364e-08            0   1.4364e-08       33.212       22.555       1.4724       72.425       2.1807       2.1807   1.4243e-05       72.425       1.7906   3.5039e-07       68.233            0            0            0       27.987      0.69381           28       1.7246   2.7407e-07       2.4534   2.8841e-06       0.2241   3.3224e-09     0.014965       8.3833       34.031        61.06       0.9752      0.10336            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            1            0            0      0.54864     0.019519            0     0.019519   9.0867e-08     0.071847            0     0.071847   1.5241e-09   1.4934e-08            0   1.4934e-08       28.108        20.82       1.3501        86.15        3.065        3.065   1.4268e-05        86.15       3.0131   4.7057e-07       77.805            0            0            0       27.982      0.75165           28       2.0375   2.5363e-07       2.8851   3.0034e-06      0.22273   2.9086e-09     0.014956       10.029       36.868       85.819      0.98175       0.1222            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            2            0            0      0.63562     0.026081            0     0.026081   9.0975e-08     0.082681            0     0.082681   1.7017e-09   1.5499e-08            0   1.5499e-08        24.37       19.429       1.2543       99.808       4.0955       4.0955   1.4285e-05       99.808       4.5642   5.9148e-07         87.3            0            0            0       27.976      0.80544           28       2.3497   2.3287e-07       3.3202   3.1219e-06      0.22153   2.5853e-09      0.01495       11.668       39.507       114.67      0.98614      0.14081            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            3            0            0      0.72209     0.033559            0     0.033559   9.1027e-08     0.093584            0     0.093584   1.8979e-09   1.6056e-08            0   1.6056e-08       21.517       18.285       1.1768       113.39       5.2695       5.2695   1.4294e-05       113.39       6.4403   7.1297e-07       96.697            0            0            0        27.97      0.85587           28       2.6609   2.1182e-07        3.758   3.2394e-06      0.22046   2.3256e-09     0.014947       13.299       41.981       147.55      0.98914      0.15919            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            4            0            0      0.80798      0.04193            0      0.04193   9.1023e-08      0.10454            0      0.10454   2.1123e-09   1.6606e-08            0   1.6606e-08        19.27       17.321       1.1125       126.87       6.5841       6.5841   1.4293e-05       126.87       8.6366    8.349e-07       105.98            0            0            0       27.962      0.90348           28       2.9707   1.9051e-07       4.1981   3.3557e-06      0.21947   2.1123e-09     0.014946        14.92       44.315       184.36      0.99119      0.17733            0            0            0            0            0            0            0            0            0            5       0.2599            0  
          0            5            0            0      0.89322     0.051174            0     0.051174   9.0964e-08      0.11554            0      0.11554   2.3449e-09   1.7147e-08            0   1.7147e-08       17.455       16.496       1.0581       140.26       8.0356       8.0356   1.4284e-05       140.26       11.147   9.5712e-07       115.12            0            0            0       27.954      0.94864           28        3.279   1.6896e-07       4.6399   3.4707e-06      0.21855    1.934e-09     0.014946       16.528       46.531          225      0.99255      0.19522            0            0            0            0            0            0            0            0            0            5       0.2599            0  
