Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.184 m²
   Span  =    0.959 m
   Chord =    0.192 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.075, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.10 m
Static margin       = 12.1105
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.086508    0.0037525            0    0.0037525   8.9649e-08     0.091262            0     0.091262  -6.9557e-10   1.4273e-08            0   1.4273e-08       23.054       6.7806       3.3999       3.8985       0.1691       0.1691     4.04e-06       3.8985      0.27673   1.4537e-07       8.2169            0            0            0       19.981       2.3836           20       2.4838   2.3815e-08      0.78882   6.1712e-07    -0.019793   1.2093e-09   -0.0040301      0.70562        70.15       3.3821      0.12696   -0.0017123            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0           -4            0            0       0.1678    0.0047303            0    0.0047303    9.011e-08     0.080068            0     0.080068   -5.994e-10   1.4917e-08            0   1.4917e-08       35.473       14.531       2.4412       7.5618      0.21317      0.21317   4.0608e-06       7.5618      0.26116   1.8315e-07       10.823            0            0            0       19.992       1.1123           20       1.6148   1.9128e-08      0.69207    6.449e-07     0.011719   9.2449e-10   -0.0033453       1.0581       32.734       4.2634      0.37894    0.0019665            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0           -3            0            0      0.24908    0.0065291            0    0.0065291   9.0517e-08     0.068834            0     0.068834  -4.8194e-10   1.5558e-08            0   1.5558e-08        38.15        19.04       2.0037       11.225      0.29423      0.29423   4.0791e-06       11.225       0.3354   2.2118e-07        13.43            0            0            0       19.993      0.84887           20       1.5015    1.439e-08      0.59497   6.7255e-07     0.031041   7.4944e-10   -0.0029218       1.4109       24.982       5.8847      0.60495    0.0077319            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0           -2            0            0       0.3303    0.0091498            0    0.0091498    9.087e-08     0.057574            0     0.057574  -3.4317e-10   1.6195e-08            0   1.6195e-08       36.099       20.747         1.74       14.885      0.41234      0.41234    4.095e-06       14.885      0.49955   2.5942e-07       16.034            0            0            0       19.992      0.77904           20       1.5868   9.6049e-09      0.49764   7.0001e-07     0.044089   6.3089e-10   -0.0026327       1.7634       22.927       8.2467      0.75907     0.014562            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0           -1            0            0      0.41137     0.012591            0     0.012591   9.1168e-08     0.046301            0     0.046301  -1.8311e-10   1.6828e-08            0   1.6828e-08       32.673       20.956       1.5591       18.538       0.5674       0.5674   4.1084e-06       18.538      0.75349   2.9781e-07       18.629            0            0            0       19.991      0.77126           20       1.7531   4.7798e-09       0.4002   7.2727e-07     0.053482   5.4525e-10    -0.002422       2.1152       22.698       11.348      0.85566     0.022001            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            0            0            0      0.49224     0.016848            0     0.016848    9.141e-08     0.035029            0     0.035029  -1.8454e-12   1.7453e-08            0   1.7453e-08       29.217       20.499       1.4253       22.183      0.75923      0.75923   4.1194e-06       22.183       1.0968   3.3632e-07       21.209            0            0            0       19.988      0.78845           20       1.9603  -7.9752e-11      0.30277   7.5428e-07      0.06056   4.8044e-10   -0.0022608        2.466       23.204       15.185      0.91559      0.02981            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            1            0            0      0.57284     0.021914            0     0.021914   9.1596e-08     0.023771            0     0.023771   2.0047e-10   1.8071e-08            0   1.8071e-08       26.141       19.785       1.3213       25.815      0.98753      0.98753   4.1278e-06       25.815       1.5287    3.749e-07       23.769            0            0            0       19.985      0.81691           20       2.1908  -4.9678e-09      0.20547   7.8102e-07     0.066081   4.2966e-10   -0.0021331       2.8153       24.042       19.751      0.95329     0.037853            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            2            0            0      0.65309      0.02778            0      0.02778   9.1727e-08     0.012542            0     0.012542   4.2361e-10    1.868e-08            0    1.868e-08       23.509       18.999       1.2374       29.431       1.2519       1.2519   4.1337e-06       29.431       2.0483   4.1349e-07       26.303            0            0            0       19.982      0.85071           20       2.4357  -9.8784e-09      0.10841   8.0745e-07     0.070502   3.8878e-10   -0.0020289       3.1626       25.036       25.038      0.97745     0.046044            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            3            0            0      0.73293     0.034434            0     0.034434   9.1801e-08    0.0013554            0    0.0013554    6.673e-10   1.9279e-08            0   1.9279e-08       21.285       18.222       1.1681       33.029       1.5518       1.5518    4.137e-06       33.029       2.6544   4.5205e-07       28.807            0            0            0       19.978      0.88696           20       2.6899  -1.4806e-08     0.011716   8.3354e-07     0.074119   3.5514e-10    -0.001942       3.5076       26.103       31.036      0.99315     0.054324            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            4            0            0       0.8123     0.041864            0     0.041864    9.182e-08   -0.0097756            0   -0.0097756   9.3119e-10   1.9866e-08            0   1.9866e-08       19.404       17.488       1.1095       36.606       1.8866       1.8866   4.1378e-06       36.606       3.3455   4.9054e-07       31.275            0            0            0       19.973       0.9242           20       2.9502  -1.9743e-08    -0.084495   8.5926e-07     0.077129   3.2696e-10    -0.001868       3.8499       27.199       37.731       1.0034     0.062652            0            0            0            0            0            0            0            0            0            3       0.0752            0  
          0            5            0            0      0.89113     0.050051            0     0.050051   9.1782e-08    -0.020837            0    -0.020837   1.2149e-09    2.044e-08            0    2.044e-08       17.805       16.808       1.0593       40.159       2.2555       2.2555   4.1361e-06       40.159       4.1197   5.2891e-07       33.701            0            0            0       19.969      0.96161           20       3.2146  -2.4686e-08     -0.18011   8.8457e-07      0.07967   3.0299e-10    -0.001804       4.1889         28.3        45.11       1.0101     0.070997            0            0            0            0            0            0            0            0            0            3       0.0752            0  
