Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.368 m²
   Span  =    2.015 m
   Chord =    0.183 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.216, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.20 m
Static margin       = -10.0439
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.004846   3.1078e-05            0   3.1078e-05   9.0827e-08     0.094944            0     0.094944   1.3675e-09   8.5785e-09            0   8.5785e-09      -155.93      -10.855            0     -0.43676     0.002801     0.002801   8.1861e-06     -0.43676      0.36689   3.8586e-08       10.509            0            0            0           20      -1.0529           20     -0.36744   3.8317e-07       1.5623   1.5303e-06     0.069633   3.0203e-08     0.032268     0.067821      -30.985      0.05602     0.021795  -0.00033744            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0           -4            0            0      0.10712    0.0003404            0    0.0003404   9.1584e-08     0.094744            0     0.094744   1.4363e-09   8.9202e-09            0   8.9202e-09       314.68       102.99       3.0554       9.6543      0.03068      0.03068   8.2544e-06       9.6543    0.0046194   1.0178e-07       17.525            0            0            0           20      0.11097           20      0.18208    3.732e-07        1.559   1.5978e-06       0.1286    1.822e-08     0.029254       1.9217       3.2658       0.6136       0.9722     0.013775            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0           -3            0            0      0.21907    0.0014304            0    0.0014304   9.2289e-08     0.094708            0     0.094708   1.5151e-09   9.2624e-09            0   9.2624e-09       153.15       71.682       2.1365       19.744      0.12892      0.12892   8.3179e-06       19.744     -0.11589   1.6611e-07       24.561            0            0            0           20      0.15943           20      0.37411   3.6281e-07       1.5585   1.6654e-06      0.15365   1.3066e-08     0.027966       3.7793       4.6922       2.5784      0.96769      0.03366            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0           -2            0            0      0.33094    0.0033009            0    0.0033009   9.2938e-08     0.094837            0     0.094837   1.6041e-09   9.6045e-09            0   9.6045e-09       100.26       57.674       1.7383       29.827      0.29751      0.29751   8.3765e-06       29.827    0.0064039    2.315e-07       31.602            0            0            0       19.999      0.19816           20      0.57147     3.52e-07       1.5606    1.733e-06      0.16735   1.0196e-08     0.027255       5.6383       5.8318       5.9502      0.95696     0.055383            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0           -1            0            0      0.44264    0.0059493            0    0.0059493   9.3533e-08      0.09513            0      0.09513   1.7032e-09   9.9458e-09            0   9.9458e-09       74.402       49.501        1.503       39.895      0.53621      0.53621   8.4301e-06       39.895      0.37179   2.9786e-07       38.634            0            0            0       19.998      0.23088           20      0.77003   3.4078e-07       1.5654   1.8005e-06      0.17589   8.3661e-09     0.026807       7.4964       6.7947       10.724       0.9499     0.077858            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            0            0            0      0.55412    0.0093708            0    0.0093708   9.4072e-08     0.095588            0     0.095588   1.8126e-09   1.0286e-08            0   1.0286e-08       59.133       44.018       1.3434       49.942      0.84458      0.84458   8.4787e-06       49.942      0.97984   3.6513e-07       45.641            0            0            0       19.997      0.25963           20      0.96884   3.2918e-07       1.5729   1.8679e-06      0.18165   7.0971e-09     0.026501       9.3514       7.6411       16.892      0.94508      0.10065            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            1            0            0      0.66529     0.013558            0     0.013558   9.4554e-08     0.096209            0     0.096209   1.9324e-09   1.0623e-08            0   1.0623e-08        49.07       40.024        1.226       59.962        1.222        1.222   8.5221e-06       59.962       1.8294   4.3321e-07       52.609            0            0            0       19.996      0.28554           20       1.1675    3.172e-07       1.5832   1.9351e-06      0.18573   6.1647e-09      0.02628       11.201       8.4036       24.439      0.94159      0.12356            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            2            0            0      0.77607     0.018501            0     0.018501    9.498e-08     0.096992            0     0.096992   2.0624e-09   1.0958e-08            0   1.0958e-08       41.947       36.953       1.1351       69.947       1.6675       1.6675   8.5604e-06       69.947       2.9185   5.0203e-07       59.523            0            0            0       19.994      0.30927           20       1.3656   3.0486e-07       1.5961   2.0019e-06      0.18873   5.4503e-09     0.026114       13.043       9.1019        33.35      0.93894      0.14646            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            3            0            0       0.8864     0.024189            0     0.024189   9.5347e-08     0.097938            0     0.097938   2.2028e-09    1.129e-08            0    1.129e-08       36.645       34.501       1.0621       79.891       2.1801       2.1801   8.5936e-06       79.891       4.2445   5.7149e-07       66.369            0            0            0       19.993      0.33125           20       1.5631   2.9217e-07       1.6116   2.0684e-06      0.19098   4.8851e-09     0.025986       14.875       9.7487       43.602      0.93688      0.16929            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            4            0            0       0.9962     0.030606            0     0.030606   9.5657e-08     0.099045            0     0.099045   2.3533e-09   1.1617e-08            0   1.1617e-08       32.549       32.487       1.0019       89.787       2.7585       2.7585   8.6215e-06       89.787        5.804   6.4152e-07       73.131            0            0            0       19.991      0.35179           20       1.7597   2.7916e-07       1.6298   2.1344e-06      0.19271   4.4264e-09     0.025884       16.695       10.353        55.17      0.93525      0.19198            0            0            0            0            0            0            0            0            0            3       0.2158            0  
          0            5            0            0       1.1054     0.037737            0     0.037737   9.5907e-08      0.10031            0      0.10031    2.514e-09    1.194e-08            0    1.194e-08       29.292       30.798      0.95113       99.629       3.4012       3.4012   8.6441e-06       99.629        7.593   7.1203e-07       79.796            0            0            0       19.988      0.37109           20       1.9552   2.6583e-07       1.6507   2.1999e-06      0.19404   4.0466e-09     0.025803       18.501       10.921       68.024      0.93393       0.2145            0            0            0            0            0            0            0            0            0            3       0.2158            0  
