Type 1: Fixed speed
V∞ = 30m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.226 m²
   Span  =    1.323 m
   Chord =    0.171 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.197, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.17 m
Static margin       = -14.3267
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 30.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.068249   0.00036737            0   0.00036737   8.9188e-08      0.02231            0      0.02231   3.3657e-10   9.3673e-09            0   9.3673e-09      -185.78      -48.533            0      -8.5171     0.045846     0.045846    1.113e-05      -8.5171       1.0935  -1.3433e-07       9.2404            0            0            0           30     -0.30018           30     -0.30841    1.902e-07      0.47627   1.5363e-06      0.14306   1.0634e-08    0.0032441      -1.6013      -8.8342       1.3754       0.5217   -0.0097635            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           -4            0            0      0.03318   0.00047367            0   0.00047367   8.9986e-08     0.027777            0     0.027777   3.7067e-10   9.9531e-09            0   9.9531e-09       70.049        12.76       5.4899       4.1407     0.059112     0.059112    1.123e-05       4.1407      0.43996   -2.892e-08       17.991            0            0            0       29.997       1.1418           30      0.81789   1.7573e-07      0.59299   1.6355e-06      0.16339   5.4916e-09    0.0023573     -0.19058       33.602       1.7733     0.095635    0.0054211            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           -3            0            0      0.13464    0.0015698            0    0.0015698   9.0733e-08     0.033476            0     0.033476    4.236e-10   1.0542e-08            0   1.0542e-08       85.768       31.471       2.7253       16.802       0.1959       0.1959   1.1323e-05       16.802     0.086928   7.7908e-08       26.782            0            0            0       29.998      0.46293           30        0.668   1.6097e-07      0.71465   1.7349e-06      0.17008   3.7055e-09    0.0020507       1.5035       13.624       5.8769      0.47514     0.022899            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           -2            0            0      0.23603    0.0036558            0    0.0036558   9.1427e-08     0.039398            0     0.039398   4.9559e-10   1.1132e-08            0   1.1132e-08       64.564       31.367       2.0583       29.456      0.45623      0.45623    1.141e-05       29.456     0.036544   1.8603e-07       35.596            0            0            0       29.996      0.46446           30      0.88736   1.4595e-07      0.84108   1.8344e-06      0.17321   2.7979e-09    0.0018959       3.0597       13.669       13.687      0.62704     0.040883            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           -1            0            0      0.33729    0.0067291            0    0.0067291   9.2068e-08     0.045538            0     0.045538   5.8686e-10   1.1722e-08            0   1.1722e-08       50.125       29.111       1.7219       42.092      0.83976      0.83976    1.149e-05       42.092      0.29002    2.953e-07       44.414            0            0            0       29.994      0.50045           30       1.1429   1.3069e-07      0.97216   1.9339e-06      0.17488   2.2483e-09     0.001803        4.616       14.728       25.193      0.69565     0.058987            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            0            0            0      0.43833     0.010784            0     0.010784   9.2654e-08     0.051887            0     0.051887   6.9753e-10   1.2311e-08            0   1.2311e-08       40.647       26.911       1.5104       54.701       1.3457       1.3457   1.1563e-05       54.701      0.84764   4.0561e-07       53.217            0            0            0       29.991      0.54136           30       1.4093    1.152e-07       1.1077   2.0332e-06      0.17583   1.8795e-09    0.0017414       6.1704       15.932       40.372      0.73311      0.07707            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            1            0            0      0.53906     0.015811            0     0.015811   9.3186e-08     0.058438            0     0.058438   8.2769e-10   1.2898e-08            0   1.2898e-08       34.094       25.032        1.362       67.272       1.9731       1.9731   1.1629e-05       67.272       1.7088    5.168e-07       61.987            0            0            0       29.987      0.58199           30         1.68   9.9495e-08       1.2476   2.1322e-06      0.17635   1.6148e-09    0.0016977        7.721       17.128       59.193      0.75624     0.095061            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            2            0            0      0.63941     0.021799            0     0.021799   9.3662e-08     0.065183            0     0.065183   9.7735e-10   1.3482e-08            0   1.3482e-08       29.332       23.455       1.2506       79.795       2.7204       2.7204   1.1688e-05       79.795       2.8718   6.2875e-07       70.705            0            0            0       29.983      0.62113           30       1.9526   8.3604e-08       1.3915   2.2308e-06       0.1766   1.4154e-09    0.0016654        9.266        18.28       81.611      0.77173      0.11292            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            3            0            0      0.73929     0.028733            0     0.028733   9.4081e-08     0.072113            0     0.072113   1.1465e-09   1.4061e-08            0   1.4061e-08        25.73       22.123        1.163        92.26       3.5857       3.5857   1.1741e-05        92.26       4.3343   7.4132e-07       79.353            0            0            0       29.977      0.65852           30       2.2257   6.7544e-08       1.5395    2.329e-06      0.17668   1.2598e-09    0.0016406       10.803        19.38       107.57       0.7827      0.13062            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            4            0            0      0.83863     0.036595            0     0.036595   9.4444e-08     0.079221            0     0.079221    1.335e-09   1.4635e-08            0   1.4635e-08       22.916       20.986        1.092       104.66       4.5669       4.5669   1.1786e-05       104.66       6.0928   8.5437e-07       87.912            0            0            0       29.971       0.6942           30       2.4986   5.1332e-08       1.6912   2.4265e-06      0.17663   1.1348e-09     0.001621       12.332        20.43       137.01      0.79078      0.14813            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            5            0            0      0.93734     0.045365            0     0.045365    9.475e-08     0.086497            0     0.086497   1.5427e-09   1.5202e-08            0   1.5202e-08       20.662       20.004       1.0329       116.97       5.6614       5.6614   1.1824e-05       116.97        8.143   9.6776e-07       96.365            0            0            0       29.965      0.72828           30       2.7708   3.4991e-08       1.8466   2.5232e-06      0.17649   1.0321e-09    0.0016054       13.848       21.433       169.84       0.7969      0.16543            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            6            0            0       1.0353      0.05502            0      0.05502   9.4999e-08     0.093932            0     0.093932   1.7693e-09    1.576e-08            0    1.576e-08       18.818       19.147      0.98278       129.21       6.8662       6.8662   1.1855e-05       129.21        10.48   1.0814e-06       104.69            0            0            0       29.958      0.76087           30       3.0419   1.8538e-08       2.0053   2.6191e-06      0.17628   9.4629e-10    0.0015926       15.352       22.393       205.99      0.80165      0.18251            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            7            0            0       1.1326     0.065534            0     0.065534   9.5189e-08      0.10152            0      0.10152   2.0147e-09   1.6309e-08            0   1.6309e-08       17.282       18.392      0.93965       141.34       8.1783       8.1783   1.1879e-05       141.34       13.097    1.195e-06       112.88            0            0            0        29.95      0.79211           30       3.3116   1.9946e-09       2.1672   2.7139e-06      0.17602    8.734e-10    0.0015821       16.841       23.312       245.35      0.80539      0.19935            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            8            0            0        1.229     0.076877            0     0.076877   9.5322e-08      0.10925            0      0.10925   2.2784e-09   1.6848e-08            0   1.6848e-08       15.986       17.722      0.90205       153.37       9.5939       9.5939   1.1896e-05       153.37       15.988   1.3086e-06       120.91            0            0            0       29.941      0.82208           30       3.5795  -1.4619e-08       2.3322   2.8077e-06      0.17571   8.1069e-10    0.0015733       18.313       24.194       287.82      0.80836      0.21594            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0            9            0            0       1.3244      0.08902            0      0.08902   9.5396e-08      0.11711            0      0.11711   2.5601e-09   1.7375e-08            0   1.7375e-08       14.878       17.122      0.86894       165.28       11.109       11.109   1.1905e-05       165.28       19.144    1.422e-06       128.76            0            0            0       29.932       0.8509           30       3.8454  -3.1284e-08          2.5   2.9003e-06      0.17537   7.5613e-10     0.001566       19.766       25.042       333.28      0.81075      0.23226            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           10            0            0       1.4188      0.10193            0      0.10193   9.5412e-08      0.12509            0      0.12509   2.8593e-09   1.7889e-08            0   1.7889e-08        13.92       16.581      0.83952       177.06        12.72        12.72   1.1907e-05       177.06       22.558   1.5351e-06       136.42            0            0            0       29.923      0.87863           30       4.1089  -4.7978e-08       2.6704   2.9915e-06        0.175    7.082e-10    0.0015598       21.199       25.858        381.6      0.81268       0.2483            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           11            0            0       1.5122      0.11556            0      0.11556    9.537e-08      0.13318            0      0.13318   3.1755e-09   1.8389e-08            0   1.8389e-08       13.086       16.092      0.81319       188.72       14.422       14.422   1.1902e-05       188.72       26.219   1.6476e-06       143.87            0            0            0       29.913      0.90534           30         4.37  -6.4682e-08       2.8432   3.0813e-06      0.17461   6.6572e-10    0.0015545        22.61       26.644       432.65      0.81424      0.26405            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           12            0            0       1.6045      0.12989            0      0.12989   9.5269e-08      0.14138            0      0.14138   3.5082e-09   1.8875e-08            0   1.8875e-08       12.353       15.647      0.78947       200.23        16.21        16.21   1.1889e-05       200.23       30.117   1.7595e-06        151.1            0            0            0       29.902      0.93109           30       4.6283  -8.1375e-08       3.0182   3.1695e-06      0.17419   6.2781e-10    0.0015501       23.997       27.402       486.29      0.81551      0.27949            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           13            0            0       1.6955      0.14487            0      0.14487    9.511e-08      0.14967            0      0.14967   3.8567e-09   1.9344e-08            0   1.9344e-08       11.704        15.24      0.76798       211.59       18.079       18.079   1.1869e-05       211.59       34.243   1.8707e-06       158.09            0            0            0       29.891      0.95594           30       4.8835  -9.8037e-08       3.1952   3.2561e-06      0.17376   5.9373e-10    0.0015462       25.359       28.133       542.36      0.81654      0.29461            0            0            0            0            0            0            0            0            0            3       0.1967            0  
          0           14            0            0       1.7853      0.16045            0      0.16045   9.4894e-08      0.15804            0      0.15804   4.2203e-09   1.9796e-08            0   1.9796e-08       11.127       14.867      0.74842        222.8       20.023       20.023   1.1842e-05        222.8       38.583    1.981e-06       164.82            0            0            0        29.88      0.97991           30       5.1355  -1.1465e-07       3.3739   3.3409e-06      0.17331   5.6291e-10     0.001543       26.694       28.839        600.7      0.81738       0.3094            0            0            0            0            0            0            0            0            0            3       0.1967            0  
