Type 1: Fixed speed
V∞ = 14m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.327 m²
   Span  =    1.371 m
   Chord =    0.239 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.091, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.11 m
Static margin       = 7.47728
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 14.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    0.0065293    0.0022862            0    0.0022862   9.1406e-08      0.10799            0      0.10799  -6.5545e-10   1.3779e-08            0   1.3779e-08       2.8559      0.23077       12.376      0.25632      0.08975      0.08975   3.5883e-06      0.25632      0.25664   1.6539e-07       5.1027            0            0            0       13.213       52.528           14       19.298   2.9485e-08       1.0113   7.4171e-07     -0.10237   3.1301e-09     0.030082      0.31882       1545.9       1.2565    0.0010329  -0.00066839            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0           -4            0            0      0.09106    0.0022119            0    0.0022119    9.204e-08       0.0972            0       0.0972  -5.4461e-10   1.4327e-08            0   1.4327e-08       41.167       12.423       3.3139       3.5747     0.086833     0.086833   3.6132e-06       3.5747      0.16138    1.964e-07       7.4078            0            0            0       13.996      0.97578           14       1.3915   2.4546e-08      0.91023   7.7116e-07    -0.029053   2.1684e-09     0.028507      0.78533       28.717       1.2157      0.20765   -0.0026455            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0           -3            0            0      0.17564    0.0029577            0    0.0029577    9.262e-08     0.086365            0     0.086365  -4.1585e-10   1.4873e-08            0   1.4873e-08       59.384       24.887       2.3861       6.8949      0.11611      0.11611   3.6359e-06       6.8949      0.14551   2.2765e-07       9.7169            0            0            0       13.998      0.48707           14      0.96475   1.9541e-08      0.80877   8.0045e-07     0.009557    1.661e-09     0.027678       1.2527       14.335       1.6255      0.57775    0.0016786            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0           -2            0            0       0.2602    0.0045261            0    0.0045261   9.3145e-08       0.0755            0       0.0755  -2.6916e-10   1.5415e-08            0   1.5415e-08       57.488       29.324       1.9604       10.214      0.17768      0.17768   3.6565e-06       10.214      0.20923   2.5909e-07       12.025            0            0            0       13.998      0.41337           14      0.99656   1.4475e-08      0.70702   8.2953e-07     0.033366   1.3473e-09     0.027167       1.7204       12.166       2.4875      0.82857    0.0086817            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0           -1            0            0      0.34466    0.0069173            0    0.0069173   9.3615e-08     0.064618            0     0.064618  -1.0458e-10   1.5952e-08            0   1.5952e-08       49.827       29.252       1.7033        13.53      0.27155      0.27155    3.675e-06        13.53      0.35254   2.9069e-07       14.328            0            0            0       13.997      0.41439           14       1.1498   9.3544e-09      0.60512   8.5839e-07       0.0495   1.1341e-09     0.026821       2.1878       12.196       3.8017      0.95128     0.017061            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            0            0            0      0.42897     0.010129            0     0.010129   9.4029e-08     0.053732            0     0.053732    7.778e-11   1.6483e-08            0   1.6483e-08       42.352       27.739       1.5268        16.84      0.39762      0.39762   3.6912e-06        16.84      0.57518   3.2241e-07        16.62            0            0            0       13.996        0.437           14       1.3526   4.1855e-09      0.50318   8.8697e-07     0.061144   9.7968e-10     0.026571       2.6543       12.861       5.5667       1.0064     0.026229            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            1            0            0      0.51305     0.014156            0     0.014156   9.4387e-08     0.042856            0     0.042856   2.7778e-10   1.7006e-08            0   1.7006e-08       36.244       25.961       1.3961       20.141       0.5557       0.5557   3.7053e-06       20.141      0.87664    3.542e-07       18.896            0            0            0       13.995      0.46693           14       1.5804  -1.0254e-09      0.40133   9.1525e-07     0.069935   8.6259e-10     0.026382       3.1195       13.742       7.7798         1.03      0.03588            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            2            0            0      0.59684     0.018991            0     0.018991   9.4687e-08     0.032003            0     0.032003   4.9521e-10   1.7521e-08            0   1.7521e-08       31.428        24.28       1.2944        23.43       0.7455       0.7455   3.7171e-06        23.43       1.2562   3.8603e-07       21.153            0            0            0       13.993      0.49925           14       1.8225   -6.272e-09      0.29969   9.4318e-07     0.076798   7.7071e-10     0.026235       3.5826       14.693       10.437        1.039     0.045836            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            3            0            0      0.68026     0.024624            0     0.024624   9.4931e-08     0.021185            0     0.021185   7.2981e-10   1.8026e-08            0   1.8026e-08       27.626       22.786       1.2124       26.705      0.96663      0.96663   3.7266e-06       26.705       1.7128   4.1787e-07       23.384            0            0            0       13.991      0.53199           14        2.073  -1.1548e-08      0.19839   9.7075e-07     0.082301   6.9665e-10     0.026117       4.0432       15.657       13.533        1.041     0.055986            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            4            0            0      0.76325     0.031042            0     0.031042   9.5116e-08     0.010417            0     0.010417   9.8128e-10   1.8521e-08            0   1.8521e-08       24.587       21.481       1.1446       29.962       1.2186       1.2186   3.7339e-06       29.962       2.2454   4.4967e-07       25.586            0            0            0       13.988      0.56432           14        2.329  -1.6846e-08      0.09755    9.979e-07     0.086805   6.3566e-10     0.026021       4.5007       16.608       17.061       1.0395     0.066254            0            0            0            0            0            0            0            0            0            3        0.091            0  
          0            5            0            0      0.84575     0.038232            0     0.038232   9.5245e-08   -0.0002889            0   -0.0002889   1.2492e-09   1.9004e-08            0   1.9004e-08       22.121       20.344       1.0874       33.201       1.5009       1.5009    3.739e-06       33.201       2.8523   4.8139e-07       27.753            0            0            0       13.986      0.59585           14       2.5883  -2.2162e-08   -0.0027054   1.0246e-06     0.090556   5.8451e-10     0.025941       4.9546       17.536       21.012       1.0363     0.076587            0            0            0            0            0            0            0            0            0            3        0.091            0  
