Type 1: Fixed speed
V∞ = 22m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.302 m²
   Span  =    1.886 m
   Chord =    0.160 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  4.000 kg
   CoG = (0.149, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.14 m
Static margin       = -8.0505
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 22.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.094038   0.00074578            0   0.00074578   9.1584e-08      0.12755            0      0.12755   1.3101e-09    8.661e-09            0    8.661e-09      -126.09      -38.667            0      -8.4147     0.066734     0.066734   8.1952e-06      -8.4147      0.80002   1.6436e-07       5.3421            0            0            0       21.999     -0.37677           22     -0.45438   3.4759e-07        1.827   1.4366e-06     -0.19015   5.6422e-08     0.024457      -1.1999      -14.784       1.4681       0.3204     0.017882            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           -4            0            0     0.018768    0.0003272            0    0.0003272    9.224e-08      0.11704            0      0.11704   1.3895e-09   8.9286e-09            0   8.9286e-09       57.358       7.8578       7.2995       1.6794     0.029279     0.029279   8.2538e-06       1.6794      0.25097   2.2657e-07       12.499            0            0            0       21.997        1.854           22      0.99881   3.3898e-07       1.6764   1.4866e-06     0.016285   2.4274e-08     0.018764      0.49232       72.752      0.64413     0.029087   0.00030562            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           -3            0            0      0.13161   0.00069565            0   0.00069565    9.284e-08       0.1066            0       0.1066   1.4765e-09    9.195e-09            0    9.195e-09       189.19       68.633       2.7565       11.777     0.062248     0.062248   8.3076e-06       11.777    -0.051797   2.8979e-07       19.688            0            0            0           22      0.21227           22      0.30285      3.3e-07       1.5268   1.5364e-06     0.072387   1.5497e-08     0.017217       2.1887       8.3295       1.3695      0.67276    0.0095267            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           -2            0            0      0.24441     0.001852            0     0.001852   9.3385e-08     0.096234            0     0.096234   1.5711e-09   9.4595e-09            0   9.4595e-09       131.97       65.241       2.0228        21.87      0.16572      0.16572   8.3563e-06        21.87     -0.10662   3.5394e-07       26.894            0            0            0       21.999       0.2233           22      0.43416   3.2064e-07       1.3784   1.5859e-06       0.0984   1.1398e-08       0.0165       3.8871       8.7625       3.6459       0.8715      0.02405            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           -1            0            0      0.35709    0.0037948            0    0.0037948   9.3874e-08     0.085968            0     0.085968   1.6733e-09   9.7218e-09            0   9.7218e-09       94.098        56.23       1.6734       31.953      0.33957      0.33957   8.4001e-06       31.953     0.087403   4.1894e-07       34.102            0            0            0       21.999      0.25909           22      0.60887   3.1093e-07       1.2314   1.6352e-06      0.11333   9.0225e-09     0.016089       5.5856       10.167       7.4705      0.90792     0.040467            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            0            0            0      0.46958    0.0065202            0    0.0065202   9.4306e-08     0.075809            0     0.075809   1.7831e-09   9.9813e-09            0   9.9813e-09       72.019       49.351       1.4593       42.019      0.58344      0.58344   8.4387e-06       42.019       0.5304   4.8472e-07       41.298            0            0            0       21.998       0.2952           22      0.79551   3.0087e-07       1.0858   1.6842e-06      0.12295   7.4715e-09     0.015824        7.282       11.584       12.836      0.91379     0.057733            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            1            0            0       0.5818     0.010022            0     0.010022   9.4681e-08     0.065769            0     0.065769   1.9004e-09   1.0237e-08            0   1.0237e-08       58.053       44.281        1.311       52.061      0.89677      0.89677   8.4723e-06       52.061       1.2218   5.5118e-07       48.464            0            0            0       21.997      0.32901           22      0.98685   2.9047e-07      0.94205   1.7328e-06      0.12962   6.3786e-09     0.015641       8.9743        12.91       19.729      0.91262     0.075413            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            2            0            0      0.69368     0.014291            0     0.014291   9.4998e-08     0.055861            0     0.055861   2.0253e-09    1.049e-08            0    1.049e-08       48.539       40.427       1.2007       62.072       1.2788       1.2788   8.5006e-06       62.072       2.1601   6.1826e-07       55.588            0            0            0       21.995      0.36037           22       1.1802   2.7976e-07      0.80013   1.7809e-06      0.13449   5.5665e-09     0.015507        10.66       14.141       28.133       0.9098     0.093292            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            3            0            0      0.80514     0.019317            0     0.019317   9.5256e-08     0.046097            0     0.046097   2.1576e-09   1.0738e-08            0   1.0738e-08       41.681         37.4       1.1145       72.046       1.7285       1.7285   8.5238e-06       72.046       3.3433   6.8586e-07       62.652            0            0            0       21.994      0.38954           22       1.3744   2.6874e-07      0.66028   1.8284e-06      0.13817   4.9389e-09     0.015406       12.338       15.285       38.027      0.90677      0.11125            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            4            0            0      0.91611     0.025086            0     0.025086   9.5456e-08     0.036489            0     0.036489   2.2972e-09   1.0981e-08            0   1.0981e-08       36.519       34.954       1.0448       81.976       2.2448       2.2448   8.5417e-06       81.976       4.7684   7.5392e-07       69.644            0            0            0       21.992       0.4168           22       1.5685   2.5743e-07      0.52266   1.8755e-06      0.14103   4.4391e-09     0.015328       14.006       16.355       49.385      0.90398       0.1292            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            5            0            0       1.0265     0.031583            0     0.031583   9.5598e-08     0.027049            0     0.027049    2.444e-09   1.1219e-08            0   1.1219e-08       32.503       32.931        0.987       91.856       2.8261       2.8261   8.5543e-06       91.856       6.4319   8.2233e-07       76.546            0            0            0        21.99       0.4424           22       1.7623   2.4583e-07      0.38743   1.9218e-06      0.14329   4.0314e-09     0.015266       15.661        17.36       62.174      0.90153      0.14709            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            6            0            0       1.1363      0.03879            0      0.03879    9.568e-08     0.017787            0     0.017787   2.5978e-09   1.1451e-08            0   1.1451e-08       29.294       31.227      0.93811       101.68        3.471        3.471   8.5617e-06       101.68       8.3294   8.9103e-07       83.346            0            0            0       21.987      0.46655           22       1.9551   2.3397e-07      0.25477   1.9675e-06      0.14511   3.6922e-09     0.015216       17.302       18.307       76.362      0.89942      0.16489            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            7            0            0       1.2454     0.046686            0     0.046686   9.5704e-08    0.0087157            0    0.0087157   2.7585e-09   1.1677e-08            0   1.1677e-08       26.675       29.769      0.89609       111.44       4.1776       4.1776   8.5638e-06       111.44       10.456   9.5993e-07       90.029            0            0            0       21.985      0.48939           22       2.1469   2.2186e-07      0.12484   2.0124e-06       0.1466   3.4055e-09     0.015176       18.927       19.204       91.907      0.89764      0.18257            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            8            0            0       1.3537     0.055251            0     0.055251   9.5668e-08   -0.0001544            0   -0.0001544   2.9258e-09   1.1897e-08            0   1.1897e-08       24.501       28.506       0.8595       121.13       4.9439       4.9439   8.5606e-06       121.13       12.806   1.0289e-06       96.581            0            0            0       21.982      0.51108           22       2.3373   2.0951e-07   -0.0022115   2.0566e-06      0.14782   3.1598e-09     0.015143       20.533       20.055       108.77      0.89615       0.2001            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0            9            0            0       1.4611     0.064458            0     0.064458   9.5573e-08   -0.0088123            0   -0.0088123   3.0996e-09   1.2109e-08            0   1.2109e-08       22.668         27.4      0.82729       130.74       5.7679       5.7679   8.5521e-06       130.74       15.372    1.098e-06       102.99            0            0            0       21.979       0.5317           22        2.526   1.9694e-07     -0.12622   2.0999e-06      0.14882   2.9468e-09     0.015115       22.119       20.864       126.89      0.89492      0.21745            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           10            0            0       1.5677     0.074283            0     0.074283    9.542e-08    -0.017248            0    -0.017248   3.2795e-09   1.2313e-08            0   1.2313e-08       21.104       26.423      0.79868       140.28        6.647        6.647   8.5384e-06       140.28       18.148    1.167e-06       109.24            0            0            0       21.975      0.55135           22       2.7129   1.8416e-07     -0.24705   2.1422e-06      0.14966   2.7602e-09     0.015093       23.683       21.635       146.24      0.89394      0.23462            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           11            0            0       1.6732     0.084698            0     0.084698   9.5208e-08     -0.02545            0     -0.02545   3.4653e-09    1.251e-08            0    1.251e-08       19.755       25.554      0.77307       149.72       7.5789       7.5789   8.5194e-06       149.72       21.125   1.2358e-06       115.31            0            0            0       21.972       0.5701           22       2.8978    1.712e-07     -0.36453   2.1837e-06      0.15035   2.5953e-09     0.015074       25.223       22.371       166.74      0.89317      0.25157            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           12            0            0       1.7778     0.095671            0     0.095671   9.4937e-08    -0.033409            0    -0.033409   3.6567e-09   1.2698e-08            0   1.2698e-08       18.582       24.776         0.75       159.08       8.5608       8.5608   8.4952e-06       159.08       24.297   1.3044e-06       121.21            0            0            0       21.968      0.58801           22       3.0804   1.5805e-07     -0.47854   2.2241e-06      0.15093   2.4484e-09     0.015059       26.736       23.074       188.34      0.89261      0.26831            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           13            0            0       1.8812      0.10717            0      0.10717   9.4608e-08    -0.041116            0    -0.041116   3.8534e-09   1.2877e-08            0   1.2877e-08       17.553       24.075      0.72909       168.33       9.5899       9.5899   8.4658e-06       168.33       27.652   1.3727e-06        126.9            0            0            0       21.964      0.60513           22       3.2606   1.4475e-07     -0.58892   2.2634e-06       0.1514   2.3166e-09     0.015046       28.222       23.745       210.98      0.89224      0.28482            0            0            0            0            0            0            0            0            0            4       0.1492            0  
          0           14            0            0       1.9835      0.11917            0      0.11917   9.4222e-08    -0.048561            0    -0.048561    4.055e-09   1.3047e-08            0   1.3047e-08       16.645       23.442      0.71005       177.49       10.663       10.663   8.4312e-06       177.49       31.182   1.4407e-06       132.39            0            0            0        21.96      0.62149           22       3.4382   1.3131e-07     -0.69556   2.3017e-06      0.15179   2.1977e-09     0.015036       29.679       24.387       234.59      0.89206      0.30107            0            0            0            0            0            0            0            0            0            4       0.1492            0  
