Type 1: Fixed speed
V∞ = 18m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.196 m²
   Span  =    1.054 m
   Chord =    0.186 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  2.000 kg
   CoG = (0.274, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.21 m
Static margin       = -33.95
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 18.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.069092   0.00039263            0   0.00039263   8.9314e-08     0.051062            0     0.051062   1.7428e-09   1.0606e-08            0   1.0606e-08       175.97       46.255       3.8044       2.6902     0.015287     0.015287   3.4775e-06       2.6902      0.11059  -5.2411e-08       6.3096            0            0            0           18      0.27624           18      0.32559   1.0918e-07      0.37012   4.2734e-07      0.21628   1.2976e-08     0.016865      0.19473       5.4199      0.27517      0.68361     0.014943            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0           -4            0            0      0.16228    0.0017169            0    0.0017169   8.9828e-08      0.07012            0      0.07012   1.7783e-09    1.136e-08            0    1.136e-08       94.516       38.074       2.4824       6.3184      0.06685      0.06685   3.4975e-06       6.3184      0.03973  -2.0112e-08       8.8784            0            0            0       17.999      0.33559           18      0.60618   1.0531e-07      0.50826   4.5992e-07       0.2177   9.2597e-09      0.01694       0.5414       6.5844       1.2033      0.86238     0.035328            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0           -3            0            0      0.25538    0.0040399            0    0.0040399   9.0288e-08      0.08937            0      0.08937   1.8378e-09   1.2117e-08            0   1.2117e-08       63.215       31.946       1.9788       9.9436       0.1573       0.1573   3.5154e-06       9.9436     0.057356   1.2606e-08        11.45            0            0            0       17.998      0.39997           18      0.90629   1.0133e-07      0.64779   4.9261e-07      0.21822   7.2029e-09     0.016986      0.88892       7.8475       2.8314      0.90772     0.055729            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0           -2            0            0      0.34833    0.0073581            0    0.0073581   9.0693e-08      0.10879            0      0.10879   1.9216e-09   1.2878e-08            0   1.2878e-08        47.34        27.94       1.6944       13.563      0.28649      0.28649   3.5312e-06       13.563      0.16363   4.5704e-08       14.019            0            0            0       17.996      0.45732           18       1.2101   9.7247e-08      0.78856   5.2536e-07      0.21832   5.8962e-09     0.017019       1.2369       8.9726       5.1569      0.92717     0.076048            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0           -1            0            0      0.44104     0.011665            0     0.011665   9.1042e-08      0.12836            0      0.12836   2.0301e-09   1.3639e-08            0   1.3639e-08        37.81        25.11       1.5058       17.172      0.45418      0.45418   3.5448e-06       17.172      0.35845    7.914e-08       16.581            0            0            0       17.994      0.50886           18        1.515   9.3059e-08      0.93038   5.5813e-07      0.21821   4.9919e-09     0.017045       1.5848       9.9839       8.1752      0.93761     0.096239            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            0            0            0      0.53343      0.01695            0      0.01695   9.1336e-08      0.14804            0      0.14804   2.1634e-09   1.4399e-08            0   1.4399e-08        31.47       22.985       1.3692        20.77      0.65997      0.65997   3.5562e-06        20.77      0.64145   1.1288e-07       19.129            0            0            0       17.991      0.55591           18         1.82   8.8774e-08       1.0731   5.9088e-07      0.21796   4.3287e-09     0.017067       1.9323       10.907       11.879      0.94389      0.11627            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            1            0            0      0.62542     0.023202            0     0.023202   9.1573e-08      0.16783            0      0.16783   2.3216e-09   1.5158e-08            0   1.5158e-08       26.956       21.317       1.2645       24.351      0.90339      0.90339   3.5655e-06       24.351        1.012   1.4687e-07       21.658            0            0            0       17.988      0.59939           18       2.1246   8.4396e-08       1.2165   6.2357e-07      0.21763   3.8211e-09     0.017086        2.279        11.76       16.261      0.94789      0.13611            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            2            0            0      0.71694     0.030404            0     0.030404   9.1754e-08      0.18769            0      0.18769   2.5048e-09   1.5913e-08            0   1.5913e-08        23.58       19.966        1.181       27.915       1.1838       1.1838   3.5725e-06       27.915       1.4691   1.8108e-07       24.163            0            0            0       17.984      0.63997           18       2.4284   7.9932e-08       1.3604   6.5616e-07      0.21724   3.4198e-09     0.017104       2.6244       12.556       21.309      0.95052      0.15575            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            3            0            0       0.8079     0.038539            0     0.038539   9.1879e-08      0.20759            0      0.20759   2.7129e-09   1.6662e-08            0   1.6662e-08       20.963       18.842       1.1126       31.456       1.5006       1.5006   3.5774e-06       31.456       2.0117   2.1546e-07       26.639            0            0            0        17.98      0.67813           18       2.7311   7.5387e-08       1.5047   6.8862e-07      0.21681   3.0945e-09      0.01712       2.9681       13.305        27.01      0.95225      0.17516            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            4            0            0      0.89823     0.047585            0     0.047585   9.1946e-08      0.22753            0      0.22753   2.9458e-09   1.7405e-08            0   1.7405e-08       18.876        17.89       1.0551       34.973       1.8528       1.8528     3.58e-06       34.973       2.6384   2.4997e-07        29.08            0            0            0       17.975      0.71422           18       3.0325   7.0766e-08       1.6492    7.209e-07      0.21635   2.8252e-09     0.017135       3.3097       14.013        33.35      0.95333      0.19433            0            0            0            0            0            0            0            0            0            2       0.2738            0  
          0            5            0            0      0.98785     0.057517            0     0.057517   9.1957e-08      0.24746            0      0.24746   3.2033e-09   1.8139e-08            0   1.8139e-08       17.175        17.07       1.0061       38.463       2.2395       2.2395   3.5804e-06       38.463       3.3473   2.8458e-07       31.481            0            0            0        17.97      0.74852           18       3.3322   6.6076e-08       1.7937   7.5296e-07      0.21586   2.5985e-09     0.017149       3.6488       14.686        40.31      0.95395      0.21324            0            0            0            0            0            0            0            0            0            2       0.2738            0  
