Type 1: Fixed speed
V∞ = 28m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.175 m²
   Span  =    1.036 m
   Chord =    0.169 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  2.500 kg
   CoG = (0.099, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.10 m
Static margin       = 1.14605
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 28.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.065725   0.00043988            0   0.00043988   8.9123e-08     0.041174            0     0.041174  -3.0574e-10   1.0885e-08            0   1.0885e-08      -149.41      -38.305            0      -5.5288     0.037003     0.037003   7.4971e-06      -5.5288      0.61009  -3.6398e-08       6.3418            0            0            0       27.999     -0.39469           28     -0.38346   5.6122e-08      0.58581   9.4713e-07     0.006263   8.9048e-10    0.0033027     -0.54202      -9.6797       1.0361      0.51043  -0.00041163            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0           -4            0            0     0.022598   0.00039685            0   0.00039685    8.979e-08      0.03544            0      0.03544  -2.7138e-10   1.1585e-08            0   1.1585e-08       56.944       8.5602       6.6522        1.901     0.033383     0.033383   7.5532e-06        1.901      0.21258   3.8151e-08        11.49            0            0            0       27.996       1.7661           28       1.0061   4.6823e-08      0.50422   1.0086e-06      0.05521   4.9653e-10    0.0026312      0.22486       43.315      0.93473     0.066886    0.0012476            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0           -3            0            0      0.11108    0.0011763            0    0.0011763   9.0404e-08     0.029758            0     0.029758  -2.1394e-10   1.2286e-08            0   1.2286e-08       94.433       31.473       3.0004       9.3444     0.098953     0.098953   7.6049e-06       9.3444   -0.0081686   1.1346e-07       16.663            0            0            0       27.998      0.48036           28      0.60671    3.741e-08      0.42338     1.07e-06      0.07381   3.4554e-10    0.0023742      0.99348       11.781       2.7707      0.54523     0.008199            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0           -2            0            0      0.19966    0.0027857            0    0.0027857   9.0966e-08     0.024135            0     0.024135   -1.332e-10   1.2988e-08            0   1.2988e-08       71.672       32.025        2.238       16.795      0.23434      0.23434   7.6521e-06       16.795    -0.050809   1.8944e-07       21.851            0            0            0       27.997      0.47208           28      0.79936   2.7895e-08      0.34338   1.1313e-06     0.083526   2.6567e-10    0.0022385       1.7629       11.578       6.5614      0.74379     0.016677            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0           -1            0            0      0.28825    0.0052299            0    0.0052299   9.1473e-08     0.018578            0     0.018578  -2.8989e-11   1.3688e-08            0   1.3688e-08       55.116       29.591       1.8626       24.248      0.43995      0.43995   7.6948e-06       24.248     0.085459     2.66e-07       27.042            0            0            0       27.995      0.51091           28       1.0394   1.8289e-08      0.26431   1.1925e-06     0.089442   2.1622e-10    0.0021548       2.5322        12.53       12.318      0.82579     0.025782            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            0            0            0       0.3768    0.0085113            0    0.0085113   9.1926e-08     0.013093            0     0.013093   9.8769e-11   1.4386e-08            0   1.4386e-08        44.27       27.175       1.6291       31.697      0.71598      0.71598   7.7329e-06       31.697      0.40089   3.4304e-07       32.227            0            0            0       27.993      0.55635           28        1.294   8.6056e-09      0.18628   1.2535e-06     0.093384   1.8258e-10    0.0020979       3.3004       13.644       20.047      0.86703     0.035187            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            1            0            0      0.46522      0.01263            0      0.01263   9.2324e-08    0.0076874            0    0.0076874   2.5009e-10    1.508e-08            0    1.508e-08       36.835       25.124       1.4661       39.135       1.0624       1.0624   7.7664e-06       39.135       0.8952   4.2047e-07       37.393            0            0            0        27.99      0.60175           28       1.5551  -1.1449e-09      0.10937   1.3141e-06     0.096171    1.582e-10    0.0020569       4.0666       14.758       29.748      0.89072     0.044741            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            2            0            0      0.55345     0.017582            0     0.017582   9.2666e-08    0.0023678            0    0.0023678   4.2491e-10   1.5769e-08            0   1.5769e-08       31.478       23.418       1.3442       46.557        1.479        1.479   7.7952e-06       46.557       1.5675    4.982e-07        42.53            0            0            0       27.986       0.6456           28       1.8196   -1.095e-08     0.033688   1.3744e-06     0.098222   1.3969e-10    0.0020259       4.8298       15.833       41.413      0.90552     0.054361            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            3            0            0      0.64142     0.023364            0     0.023364   9.2952e-08   -0.0028594            0   -0.0028594   6.2311e-10   1.6451e-08            0   1.6451e-08       27.454       21.987       1.2486       53.957       1.9654       1.9654   7.8192e-06       53.957       2.4166   5.7613e-07       47.627            0            0            0       27.981      0.68761           28       2.0861  -2.0799e-08    -0.040682   1.4342e-06     0.099777   1.2517e-10    0.0020016       5.5892       16.864       55.031      0.91529     0.063999            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            4            0            0      0.72905     0.029966            0     0.029966   9.3182e-08    -0.007988            0    -0.007988   8.4449e-10   1.7124e-08            0   1.7124e-08       24.329       20.773       1.1712       61.329       2.5208       2.5208   7.8386e-06       61.329       3.4403   6.5416e-07       52.673            0            0            0       27.976      0.72779           28       2.3537  -3.0678e-08     -0.11365   1.4935e-06      0.10098   1.1346e-10    0.0019822       6.3438       17.849       70.583      0.92194      0.07362            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
          0            5            0            0      0.81629      0.03738            0      0.03738   9.3355e-08    -0.013012            0    -0.013012   1.0888e-09   1.7788e-08            0   1.7788e-08       21.838        19.73       1.1068       68.667       3.1444       3.1444   7.8531e-06       68.667       4.6364   7.3221e-07       57.658            0            0            0       27.971      0.76627           28       2.6219  -4.0576e-08     -0.18512   1.5522e-06      0.10193    1.038e-10    0.0019663       7.0927       18.793       88.044      0.92654       0.0832            0            0            0            0            0            0            0            0            0          2.5       0.0992            0  
