Type 1: Fixed speed
V∞ = 14m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.289 m²
   Span  =    1.500 m
   Chord =    0.192 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  2.500 kg
   CoG = (0.112, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.13 m
Static margin       = 7.89285
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 14.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0      0.10323    0.0008269            0    0.0008269   8.8299e-08      0.08932            0      0.08932  -2.3808e-10    9.799e-09            0    9.799e-09       124.84       40.109       3.1125       3.5756     0.028642     0.028642   3.0585e-06       3.5756     0.027671  -3.5692e-09       6.7808            0            0            0           14      0.29371           14      0.45896    3.205e-08      0.59511   5.0827e-07     0.025062    8.067e-10     0.010821      0.63295       7.2032      0.40099      0.52601    0.0025871            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0           -4            0            0      0.19765    0.0018095            0    0.0018095   8.8895e-08     0.079869            0     0.079869   -1.938e-10   1.0384e-08            0   1.0384e-08       109.23       48.562       2.2493       6.8462     0.062676     0.062676   3.0791e-06       6.8462   -0.0048626   2.5242e-08       9.0895            0            0            0       13.999      0.24258           14      0.52452    2.759e-08      0.53214    5.389e-07     0.054027   6.0451e-10     0.010979       1.1124       5.9494      0.87747      0.88126     0.010678            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0           -3            0            0      0.29207    0.0035545            0    0.0035545   8.9438e-08     0.070425            0     0.070425  -1.3028e-10   1.0969e-08            0   1.0969e-08       82.169       44.407       1.8504       10.117      0.12312      0.12312   3.0979e-06       10.117      0.04224   5.4353e-08         11.4            0            0            0       13.999      0.26528           14      0.69725   2.3069e-08      0.46922   5.6951e-07      0.07124   4.8373e-10     0.011076       1.5924       6.5059       1.7237      0.97963     0.020807            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0           -2            0            0      0.38642    0.0060635            0    0.0060635   8.9928e-08        0.061            0        0.061  -4.7356e-11   1.1555e-08            0   1.1555e-08        63.73       39.616       1.6087       13.385      0.21003      0.21003   3.1149e-06       13.385      0.16909   8.3729e-08       13.707            0            0            0       13.998      0.29736           14      0.89897   1.8493e-08      0.40642   6.0007e-07     0.082617   4.0338e-10     0.011143       2.0725       7.2928       2.9404       1.0052     0.031925            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0           -1            0            0      0.48064    0.0093355            0    0.0093355   9.0364e-08     0.051604            0     0.051604   5.5073e-11   1.2139e-08            0   1.2139e-08       51.485       35.693       1.4424       16.648      0.32336      0.32336     3.13e-06       16.648      0.37555   1.1333e-07       16.006            0            0            0       13.997      0.33004           14       1.1127   1.3868e-08      0.34382   6.3054e-07     0.090671   3.4604e-10     0.011194       2.5521       8.0943       4.5271       1.0101     0.043579            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            0            0            0      0.57464     0.013367            0     0.013367   9.0746e-08      0.04225            0      0.04225   1.7706e-10    1.272e-08            0    1.272e-08       42.988       32.587       1.3192       19.904      0.46302      0.46302   3.1433e-06       19.904      0.66125   1.4313e-07       18.293            0            0            0       13.996       0.3615           14       1.3326   9.1995e-09       0.2815   6.6089e-07     0.096654   3.0304e-10     0.011233       3.0305       8.8659       6.4823       1.0083     0.055541            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            1            0            0      0.66836     0.018154            0     0.018154   9.1074e-08     0.032949            0     0.032949    3.186e-10   1.3297e-08            0   1.3297e-08       36.817       30.099       1.2232       23.151      0.62881      0.62881   3.1546e-06       23.151       1.0256   1.7309e-07       20.561            0            0            0       13.995      0.39138           14       1.5558   4.4931e-09      0.21953   6.9107e-07      0.10126   2.6958e-10     0.011266       3.5073       9.5987       8.8033       1.0044     0.067679            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            2            0            0      0.76175     0.023686            0     0.023686   9.1346e-08     0.023711            0     0.023711   4.7961e-10    1.387e-08            0    1.387e-08        32.16       28.068       1.1458       26.385      0.82045      0.82045    3.164e-06       26.385       1.4676   2.0316e-07       22.807            0            0            0       13.993       0.4197           14        1.781  -2.4546e-10      0.15798   7.2105e-07       0.1049   2.4279e-10     0.011294       3.9818       10.293       11.486      0.99995      0.07991            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            3            0            0      0.85471     0.029956            0     0.029956   9.1563e-08     0.014549            0     0.014549   6.5998e-10   1.4436e-08            0   1.4436e-08       28.533       26.379       1.0817       29.606       1.0376       1.0376   3.1716e-06       29.606       1.9864   2.3332e-07       25.026            0            0            0       13.991      0.44658           14       2.0073  -5.0104e-09     0.096933    7.508e-07      0.10785   2.2084e-10     0.011318       4.4534       10.952       14.526      0.99546     0.092178            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            4            0            0       0.9472     0.036949            0     0.036949   9.1724e-08    0.0054727            0    0.0054727    8.595e-10   1.4994e-08            0   1.4994e-08       25.636        24.95       1.0275       32.809       1.2798       1.2798   3.1771e-06       32.809       2.5805   2.6353e-07       27.212            0            0            0       13.989      0.47216           14       2.2339  -9.7959e-09     0.036463   7.8027e-07      0.11027   2.0252e-10     0.011339       4.9216        11.58       17.918      0.99116      0.10444            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
          0            5            0            0       1.0391     0.044651            0     0.044651    9.183e-08   -0.0035057            0   -0.0035057   1.0779e-09   1.5544e-08            0   1.5544e-08       23.272       23.724      0.98098       35.994       1.5466       1.5466   3.1808e-06       35.994       3.2484   2.9375e-07       29.362            0            0            0       13.987      0.49657           14       2.4604  -1.4596e-08    -0.023358   8.0944e-07      0.11228   1.8699e-10     0.011359       5.3857       12.178       21.653      0.98714      0.11668            0            0            0            0            0            0            0            0            0          2.5       0.1119            0  
