Type 1: Fixed speed
V∞ = 14m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.613 m²
   Span  =    2.554 m
   Chord =    0.240 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  5.000 kg
   CoG = (0.176, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.19 m
Static margin       = 4.89142
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 14.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.064144    0.0004253            0    0.0004253   8.8291e-08     0.085654            0     0.085654   1.4829e-10   8.2222e-09            0   8.2222e-09       150.82       38.198       3.9484       4.7214     0.031305     0.031305   6.4987e-06       4.7214     0.097943  -5.7247e-08       12.402            0            0            0           14      0.29919           14      0.37989   1.6251e-07       1.5133   1.5376e-06      0.05821   5.8737e-09     0.046366       1.0863       14.675      0.43826      0.28938    0.0037338            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0           -4            0            0      0.17037     0.001154            0     0.001154   8.9118e-08     0.076647            0     0.076647   2.0779e-10   8.5406e-09            0   8.5406e-09       147.63       60.937       2.4227        12.54     0.084941     0.084941   6.5596e-06        12.54    -0.069459  -8.6509e-09       17.843            0            0            0           14      0.18755           14      0.38809   1.5098e-07       1.3542   1.5991e-06      0.10306   4.0915e-09     0.045445       2.9941       9.1991       1.1892      0.75236     0.017559            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0           -3            0            0      0.27654    0.0025973            0    0.0025973   8.9896e-08     0.067695            0     0.067695   2.7708e-10   8.8586e-09            0   8.8586e-09       106.47       55.992       1.9016       20.355      0.19117      0.19117   6.6168e-06       20.355    -0.049177   4.0743e-08       23.292            0            0            0       13.999      0.20411           14       0.5381   1.3919e-07        1.196   1.6605e-06      0.12686   3.1384e-09     0.044964       4.9051       10.012       2.6764      0.88073     0.035081            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0           -2            0            0      0.38258    0.0047534            0    0.0047534   9.0621e-08     0.058809            0     0.058809   3.5624e-10   9.1754e-09            0   9.1754e-09       80.487       49.784       1.6167        28.16      0.34988      0.34988   6.6702e-06        28.16      0.15923   9.0875e-08       28.737            0            0            0       13.999      0.22957           14      0.71183   1.2714e-07        1.039   1.7217e-06      0.14152   2.5446e-09     0.044673       6.8171        11.26       4.8983      0.92107     0.054143            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0           -1            0            0      0.48843    0.0076185            0    0.0076185   9.1294e-08     0.049999            0     0.049999   4.4531e-10   9.4906e-09            0   9.4906e-09       64.111       44.806       1.4309       35.951      0.56077      0.56077   6.7197e-06       35.951      0.55562   1.4168e-07       34.168            0            0            0       13.998      0.25507           14      0.89363   1.1485e-07      0.88337   1.7826e-06       0.1514    2.139e-09     0.044482       8.7277       12.511       7.8507      0.93664     0.073951            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            0            0            0      0.59401     0.011187            0     0.011187   9.1913e-08     0.041277            0     0.041277   5.4431e-10   9.8034e-09            0   9.8034e-09         53.1       40.925       1.2975       43.723       0.8234       0.8234   6.7653e-06       43.723       1.1393   1.9311e-07       39.572            0            0            0       13.998      0.27926           14       1.0789   1.0234e-07      0.72927   1.8432e-06      0.15847   1.8442e-09      0.04435       10.635       13.697       11.528      0.94347     0.094135            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            1            0            0      0.69926      0.01545            0      0.01545   9.2478e-08     0.032652            0     0.032652   6.5323e-10   1.0113e-08            0   1.0113e-08        45.26       37.847       1.1959       51.469       1.1372       1.1372   6.8069e-06       51.469        1.909   2.4508e-07       44.938            0            0            0       13.997      0.30196           14       1.2657   8.9614e-08       0.5769   1.9033e-06      0.16375   1.6202e-09     0.044256       12.535       14.811       15.921      0.94667       0.1145            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            2            0            0       0.8041     0.020397            0     0.020397   9.2988e-08     0.024137            0     0.024137   7.7203e-10    1.042e-08            0    1.042e-08       39.422        35.35       1.1152       59.186       1.5014       1.5014   6.8445e-06       59.186       2.8628   2.9754e-07       50.255            0            0            0       13.995      0.32329           14       1.4531   7.6694e-08      0.42644   1.9629e-06       0.1678    1.444e-09     0.044187       14.428       15.858       21.019      0.94818      0.13493            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            3            0            0      0.90848     0.026017            0     0.026017   9.3443e-08      0.01574            0      0.01574   9.0062e-10   1.0722e-08            0   1.0722e-08       34.918       33.282       1.0492       66.869        1.915        1.915   6.8779e-06       66.869       3.9983   3.5043e-07       55.511            0            0            0       13.994      0.34338           14       1.6404   6.3595e-08      0.27809   2.0219e-06      0.17099   1.3018e-09     0.044136        16.31       16.843        26.81      0.94888      0.15534            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            4            0            0       1.0123     0.032295            0     0.032295   9.3842e-08    0.0074724            0    0.0074724   1.0389e-09   1.1019e-08            0   1.1019e-08       31.346       31.539       0.9939       74.512       2.3771       2.3771   6.9073e-06       74.512       5.3127   4.0368e-07       60.695            0            0            0       13.993      0.36237           14       1.8272   5.0334e-08      0.13202   2.0803e-06      0.17355   1.1845e-09     0.044098       18.178       17.774       33.279      0.94916      0.17568            0            0            0            0            0            0            0            0            0            5       0.1762            0  
          0            5            0            0       1.1155     0.039213            0     0.039213   9.4184e-08  -0.00065597            0  -0.00065597   1.1867e-09   1.1311e-08            0   1.1311e-08       28.448       30.047       0.9468        82.11       2.8863       2.8863   6.9325e-06        82.11       6.8023   4.5722e-07       65.797            0            0            0       13.991      0.38036           14       2.0132   3.6925e-08     -0.01159    2.138e-06      0.17562   1.0861e-09      0.04407       20.032       18.657       40.409      0.94925      0.19592            0            0            0            0            0            0            0            0            0            5       0.1762            0  
