Type 1: Fixed speed
V∞ = 28m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.105 m²
   Span  =    0.725 m
   Chord =    0.145 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  1.500 kg
   CoG = (0.116, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.11 m
Static margin       = -3.97718
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 28.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0      -0.0313    0.0001819            0    0.0001819    8.884e-08     0.021004            0     0.021004  -1.3687e-10    1.105e-08            0    1.105e-08      -172.08      -30.444            0      -1.5798    0.0091807    0.0091807    4.484e-06      -1.5798      0.33286  -6.5083e-08       4.6903            0            0            0           28      -0.4966           28     -0.33296    3.025e-08      0.15371   4.0322e-07      0.08478   7.2456e-10      0.01415     -0.15032      -7.3075      0.25706      0.34289   -0.0026537            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0           -4            0            0     0.051819   0.00031347            0   0.00031347   8.9284e-08     0.020373            0     0.020373  -1.4222e-10   1.2094e-08            0   1.2094e-08       165.31        37.63        4.393       2.6154     0.015822     0.015822   4.5064e-06       2.6154      0.13022  -1.9996e-08        7.646            0            0            0       27.999      0.40177           28       0.3466   2.5677e-08      0.14909    4.418e-07     0.097645   4.4829e-10     0.014086      0.14624       5.9121        0.443      0.54532    0.0050598            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0           -3            0            0      0.13494    0.0013895            0    0.0013895   8.9674e-08     0.019834            0     0.019834  -1.1267e-10   1.3143e-08            0   1.3143e-08       97.116       35.675       2.7223       6.8108      0.07013      0.07013   4.5261e-06       6.8108     0.029141   2.5528e-08       10.612            0            0            0       27.999      0.42379           28      0.58995   2.1052e-08      0.14515   4.8046e-07      0.10321   3.2544e-10     0.014058      0.44374       6.2361       1.9636      0.83428     0.013927            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0           -2            0            0      0.21799    0.0034093            0    0.0034093   9.0009e-08      0.01939            0      0.01939  -4.7815e-11   1.4196e-08            0   1.4196e-08       63.941       29.853       2.1418       11.002      0.17207      0.17207    4.543e-06       11.002     0.030192   7.1433e-08       13.583            0            0            0       27.997      0.50643           28      0.89601   1.6379e-08      0.14189   5.1916e-07      0.10623   2.5595e-10     0.014044      0.74183       7.4521       4.8181      0.88735     0.023157            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0           -1            0            0      0.30089    0.0063693            0    0.0063693    9.029e-08     0.019039            0     0.019039   5.2661e-11   1.5249e-08            0   1.5249e-08       47.241       25.914        1.823       15.187      0.32147      0.32147   4.5571e-06       15.187      0.13363   1.1766e-07       16.552            0            0            0       27.994      0.58342           28       1.2127   1.1664e-08      0.13933   5.5783e-07      0.10808   2.1123e-10     0.014035       1.0401       8.5851       9.0012      0.90492     0.032519            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            0            0            0      0.38357     0.010263            0     0.010263   9.0515e-08     0.018784            0     0.018784   1.8895e-10   1.6301e-08            0   1.6301e-08       37.374       23.147       1.6146        19.36      0.51801      0.51801   4.5685e-06        19.36      0.33941   1.6416e-07       19.513            0            0            0        27.99      0.65316           28       1.5327   6.9137e-09      0.13746   5.9645e-07      0.10928   1.8002e-10     0.014029       1.3383       9.6112       14.504      0.91264     0.041916            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            1            0            0      0.46596     0.015082            0     0.015082   9.0685e-08     0.018623            0     0.018623   3.6115e-10    1.735e-08            0    1.735e-08       30.896        21.09        1.465       23.518      0.76121      0.76121   4.5771e-06       23.518      0.64716   2.1087e-07       22.459            0            0            0       27.985      0.71686           28       1.8538    2.133e-09      0.13628   6.3496e-07      0.11009   1.5699e-10     0.014026        1.636       10.549       21.314       0.9165     0.051299            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            2            0            0      0.54798     0.020813            0     0.020813     9.08e-08     0.018558            0     0.018558   5.6923e-10   1.8393e-08            0   1.8393e-08       26.329        19.49       1.3509       27.658       1.0505       1.0505   4.5829e-06       27.658       1.0562   2.5774e-07       25.385            0            0            0        27.98       0.7757           28       2.1751  -2.6719e-09       0.1358   6.7331e-07      0.11065   1.3927e-10     0.014023       1.9328       11.414       29.413       0.9185     0.060635            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            3            0            0      0.62956     0.027441            0     0.027441   9.0858e-08     0.018588            0     0.018588   8.1307e-10   1.9428e-08            0   1.9428e-08       22.942       18.203       1.2603       31.775        1.385        1.385   4.5858e-06       31.775       1.5655   3.0471e-07       28.284            0            0            0       27.973      0.83055           28       2.4959  -7.4953e-09      0.13602   7.1146e-07      0.11104   1.2522e-10     0.014022       2.2284       12.222       38.781      0.91948     0.069904            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            4            0            0      0.71062      0.03495            0      0.03495   9.0861e-08     0.018713            0     0.018713   1.0924e-09   2.0454e-08            0   2.0454e-08       20.332        17.14       1.1863       35.867        1.764        1.764    4.586e-06       35.867       2.1739   3.5171e-07       31.149            0            0            0       27.966      0.88207           28       2.8157  -1.2331e-08      0.13694   7.4935e-07       0.1113    1.138e-10     0.014021       2.5224        12.98       49.392      0.91983     0.079091            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
          0            5            0            0       0.7911     0.043319            0     0.043319   9.0808e-08     0.018933            0     0.018933    1.407e-09   2.1467e-08            0   2.1467e-08       18.262       16.243       1.1243       39.929       2.1864       2.1864   4.5833e-06       39.929       2.8797    3.987e-07       33.976            0            0            0       27.958      0.93076           28       3.1342  -1.7174e-08      0.13855   7.8696e-07      0.11147   1.0431e-10     0.014021       2.8144       13.696       61.219      0.91975      0.08818            0            0            0            0            0            0            0            0            0          1.5       0.1162            0  
