Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.107 m
   Chord =    0.221 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.187, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.17 m
Static margin       = -8.62416
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.065758   0.00029925            0   0.00029925   8.7069e-08     0.014247            0     0.014247  -4.7286e-11   9.6011e-09            0   9.6011e-09       219.74        56.35       3.8996       3.9512     0.017981     0.017981   5.2316e-06       3.9512      0.12223  -1.6127e-07       9.6765            0            0            0           20       0.2484           20      0.26074   5.2543e-08       0.1896   6.3667e-07      0.16675  -5.0424e-10  -0.00043183      0.38321       7.3103      0.35962      0.91991     0.010965            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0           -4            0            0      0.14935    0.0013542            0    0.0013542   8.7473e-08     0.017363            0     0.017363  -6.2668e-11   1.0609e-08            0   1.0609e-08       110.29       42.623       2.5876        8.974     0.081366     0.081366   5.2559e-06        8.974      0.02292  -1.0923e-07       13.213            0            0            0       19.999      0.32839           20      0.51948   4.5083e-08      0.23105   7.0449e-07      0.16921   -3.676e-10  -0.00018068      0.92621       9.6646       1.6273       1.0487     0.025272            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0           -3            0            0      0.23294    0.0032264            0    0.0032264   8.7825e-08     0.020598            0     0.020598   -4.426e-11   1.1623e-08            0   1.1623e-08       72.199       34.846       2.0719       13.997      0.19386      0.19386   5.2771e-06       13.997     0.045332   -5.664e-08       16.756            0            0            0       19.998      0.40168           20      0.79353   3.7535e-08      0.27411   7.7247e-07      0.17045  -2.8826e-10  -3.2913e-05         1.47       11.822       3.8772       1.0707     0.039705            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0           -2            0            0      0.31646    0.0059164            0    0.0059164   8.8123e-08     0.023949            0     0.023949   8.3469e-12   1.2641e-08            0   1.2641e-08       53.488        30.09       1.7776       19.015       0.3555       0.3555    5.295e-06       19.015      0.18989  -3.5706e-09         20.3            0            0            0       19.997      0.46518           20       1.0711   2.9908e-08      0.31871   8.4054e-07       0.1711  -2.3641e-10   6.5255e-05       2.0138        13.69       7.1099       1.0776     0.054147            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0           -1            0            0      0.39984    0.0094223            0    0.0094223   8.8368e-08     0.027413            0     0.027413    9.546e-11   1.3659e-08            0   1.3659e-08       42.435       26.833       1.5815       24.025      0.56615      0.56615   5.3097e-06       24.025      0.45666   4.9913e-08       23.836            0            0            0       19.994      0.52164           20       1.3499   2.2212e-08      0.36479   9.0861e-07      0.17143  -1.9985e-10   0.00013582       2.5571       15.352       11.323       1.0802     0.068543            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            0            0            0      0.48301      0.01374            0      0.01374   8.8558e-08     0.030984            0     0.030984   2.1728e-10   1.4677e-08            0   1.4677e-08       35.154       24.432       1.4389       29.022      0.82556      0.82556   5.3211e-06       29.022      0.84531   1.0375e-07       27.357            0            0            0       19.992       0.5729           20       1.6294   1.4457e-08      0.41231    9.766e-07      0.17156  -1.7267e-10   0.00018943       3.0992       16.861       16.511        1.081     0.082862            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            1            0            0       0.5659     0.018861            0     0.018861   8.8695e-08     0.034658            0     0.034658    3.739e-10   1.5693e-08            0   1.5693e-08       30.003        22.57       1.3293       34.003       1.1333       1.1333   5.3293e-06       34.003       1.3552   1.5786e-07       30.855            0            0            0       19.989      0.62015           20       1.9089   6.6518e-09      0.46121   1.0444e-06      0.17155  -1.5167e-10   0.00023191       3.6394       18.251       22.666       1.0809      0.09708            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            2            0            0      0.64845     0.024778            0     0.024778   8.8776e-08     0.038431            0     0.038431   5.6532e-10   1.6703e-08            0   1.6703e-08       26.171       21.074       1.2418       38.963       1.4888       1.4888   5.3342e-06       38.963       1.9852    2.122e-07       34.324            0            0            0       19.985      0.66418           20       2.1883  -1.1944e-09      0.51142    1.112e-06      0.17145  -1.3495e-10   0.00026665        4.177       19.547       29.776       1.0804      0.11118            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            3            0            0      0.73059     0.031477            0     0.031477   8.8803e-08     0.042298            0     0.042298    7.914e-10   1.7706e-08            0   1.7706e-08        23.21       19.838       1.1699       43.898       1.8914       1.8914   5.3359e-06       43.898       2.7339   2.6669e-07       37.756            0            0            0       19.981      0.70555           20       2.4671  -9.0716e-09      0.56288   1.1792e-06      0.17129  -1.2131e-10   0.00029583       4.7114       20.764       37.827       1.0795      0.12514            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            4            0            0      0.81225     0.038946            0     0.038946   8.8776e-08     0.046255            0     0.046255   1.0519e-09     1.87e-08            0     1.87e-08       20.856       18.796       1.1096       48.805       2.3401       2.3401   5.3342e-06       48.805       3.5995   3.2126e-07       41.144            0            0            0       19.977      0.74467           20       2.7451   -1.697e-08      0.61553   1.2461e-06      0.17108  -1.0997e-10   0.00032086        5.242       21.916       46.802       1.0784      0.13896            0            0            0            0            0            0            0            0            0            3       0.1868            0  
          0            5            0            0      0.89337     0.047167            0     0.047167   8.8693e-08     0.050296            0     0.050296   1.3466e-09   1.9682e-08            0   1.9682e-08       18.941       17.902        1.058       53.679       2.8341       2.8341   5.3293e-06       53.679       4.5799   3.7586e-07       44.479            0            0            0       19.972      0.78185           20       3.0222  -2.4881e-08      0.66932   1.3124e-06      0.17083  -1.0038e-10   0.00034272       5.7681        23.01       56.681       1.0772      0.15261            0            0            0            0            0            0            0            0            0            3       0.1868            0  
